Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Total Assets,Investments And Advances,Investmentin Financial Assets,Net PPE,Cash And Cash Equivalents,Cash Financial,Date,Fixed Assets Revaluation Reserve,Additional Paid In Capital,Payables,Other Payable,Accounts Payable,Available For Sale Securities,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investmentsin Subsidiariesat Cost,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash Equivalents,Cash Cash Equivalents And Federal Funds Sold
0.0,1101182463.0,1101182463.0,28850000000.0,121927200000.0,150777200000.0,121927200000.0,121927200000.0,150777200000.0,121927200000.0,0.0,121927200000.0,1101300000.0,1101300000.0,1423118600000.0,28850000000.0,1545045800000.0,349002200000.0,349002200000.0,22577500000.0,81964800000.0,72500800000.0,2024-03-31,,,,,,,,,,,,,,,,,,
0.0,1101182463.0,1101182463.0,28860800000.0,117781100000.0,146641900000.0,117781100000.0,117781100000.0,146641900000.0,117781100000.0,0.0,117781100000.0,1101300000.0,1101300000.0,1367265200000.0,28860800000.0,1485046300000.0,314958200000.0,314958200000.0,22627600000.0,69863400000.0,68637800000.0,2023-12-31,,,,,,,,,,,,,,,,,,
,1031479861.0,1031479861.0,37827700000.0,106113300000.0,143941000000.0,106113300000.0,106113300000.0,143941000000.0,106113300000.0,0.0,106113300000.0,1031600000.0,1031600000.0,1349725700000.0,37827700000.0,1455839000000.0,325615100000.0,325615100000.0,22743500000.0,74652800000.0,71295300000.0,2023-09-30,,,,,,,,,,,,,,,,,,
,1031479861.0,1031479861.0,43890000000.0,102275700000.0,146165700000.0,102275700000.0,102275700000.0,146165700000.0,102275700000.0,0.0,102275700000.0,1031600000.0,1031600000.0,1302375000000.0,43890000000.0,1404650700000.0,330770800000.0,330770800000.0,22770500000.0,69783300000.0,68284300000.0,2023-06-30,,,,,,,,,,,,,,,,,,
,1031469861.0,1031469861.0,28923100000.0,98963200000.0,127886300000.0,98963200000.0,98963200000.0,127886300000.0,98963200000.0,0.0,98963200000.0,1031600000.0,1031600000.0,1360162700000.0,28923100000.0,1459125900000.0,347804000000.0,347804000000.0,22717500000.0,88988600000.0,77940600000.0,2023-03-31,,,,,,,,,,,,,,,,,,
,1101182463.0,1101182463.0,45259800000.0,126860100000.0,172119900000.0,126860100000.0,126860100000.0,172119900000.0,126860100000.0,0.0,126860100000.0,1101300000.0,1101300000.0,1422156300000.0,45259800000.0,1549016400000.0,329811200000.0,329811200000.0,22423200000.0,65113000000.0,63877500000.0,2024-06-30 00:00:00,,,,,,,,,,,,,,,,,,
