Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.21153,4927500000.0,,,3299800000.0,,2054500000.0,4927500000.0,4927500000.0,-754100000.0,754100000.0,,3299800000.0,3299800000.0,6488600000.0,,,,,,3299800000.0,3299800000.0,0.0,3299800000.0,9200000.0,3290600000.0,3290600000.0,882800000.0,4173400000.0,1039200000.0,,,-754100000.0,,754100000.0,,4475100000.0,4434100000.0,4434100000.0,,,,,,,,8909200000.0,2054500000.0,10963700000.0,10963700000.0,2024-03-31
0.0,0.174174,3742000000.0,,,2506600000.0,,1770400000.0,3742000000.0,3742000000.0,-671500000.0,671500000.0,,2506600000.0,2506600000.0,5678000000.0,,2124237288.0,2088833333.0,1.18,1.2,2506600000.0,2506600000.0,0.0,2506600000.0,-29100000.0,2535700000.0,2535700000.0,534800000.0,3070500000.0,781900000.0,,,-671500000.0,,671500000.0,,3723100000.0,3907600000.0,3907600000.0,,,,,,,,7630700000.0,1770400000.0,9401100000.0,9401100000.0,2023-12-31
0.0,0.220289,5038380000.0,,,2544000000.0,1005080000.0,1712200000.0,5038380000.0,4033300000.0,-751700000.0,751700000.0,,2544000000.0,2544000000.0,4966500000.0,,2100001567.0,2100001567.0,1.211428,1.211428,2544000000.0,2544000000.0,0.0,2544000000.0,-14700000.0,2558700000.0,2558700000.0,722900000.0,3281600000.0,471700000.0,,,-751700000.0,,751700000.0,,3516600000.0,3254300000.0,3254300000.0,,,,,,,,6770900000.0,1712200000.0,8483100000.0,8483100000.0,2023-09-30
12997346.46975,0.218884,5706130000.0,59380000.0,59380000.0,3208900000.0,947420000.0,2297580000.0,5765510000.0,4818090000.0,-415310000.0,693170000.0,298970000.0,3162517346.46975,3208900000.0,5172100000.0,38780000.0,2100001567.0,2100001567.0,1.528046,1.528046,3208900000.0,3208900000.0,0.0,3208900000.0,-13140000.0,3222040000.0,3222040000.0,902880000.0,4124920000.0,7150000.0,0.0,0.0,-415310000.0,21110000.0,693170000.0,298970000.0,3608930000.0,2874520000.0,1713660000.0,947420000.0,415050000.0,532370000.0,185680000.0,15820000.0,169860000.0,38780000.0,6483450000.0,2297580000.0,8781030000.0,8781030000.0,2023-06-30
0.0,0.3,3525090000.0,,,3004500000.0,,4289100000.0,3525090000.0,3525090000.0,498020000.0,570670000.0,,3004500000.0,3004500000.0,5210460000.0,,,,,,3004500000.0,3004500000.0,0.0,3004500000.0,-18230000.0,3022730000.0,3022730000.0,-68310000.0,2954420000.0,-851090000.0,,,498020000.0,,570670000.0,,3942550000.0,921360000.0,-3907170000.0,,,,,,,,4863910000.0,4289100000.0,9153010000.0,9153010000.0,2023-03-31
,,,,,,,,,,,,,,,,,2100001567.0,2100001567.0,0.547095,0.547095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
-20152359.30957,0.2428,4739800000.0,-83000000.0,-83000000.0,2924400000.0,,1908600000.0,4656800000.0,4656800000.0,-740400000.0,740400000.0,,2987247640.69043,2924400000.0,6297100000.0,,2088857143.0,2059436620.0,1.4,1.42,2924400000.0,2924400000.0,0.0,2924400000.0,-41100000.0,2965500000.0,2965500000.0,950900000.0,3916400000.0,939200000.0,,,-740400000.0,,740400000.0,,3800600000.0,4388500000.0,4388500000.0,,,,,,,,8189100000.0,1908600000.0,10097700000.0,10097700000.0,2024-06-30 00:00:00
