Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,618340905.0,618340905.0,3798000000.0,3939500000.0,56331500000.0,60162200000.0,20987400000.0,56331500000.0,120000000.0,56342700000.0,56342700000.0,56342700000.0,56342700000.0,55106000000.0,,,1236700000.0,1236700000.0,14235800000.0,3200500000.0,,,536000000.0,2334100000.0,95400000.0,95400000.0,233000000.0,11035300000.0,696500000.0,3844100000.0,24600000.0,3819500000.0,,44700000.0,2886900000.0,,,500000.0,2886400000.0,70578500000.0,38555800000.0,394200000.0,,25828100000.0,25828100000.0,,1376300000.0,,11200000.0,,10731200000.0,,10731200000.0,188700000.0,10542500000.0,,,,,32022700000.0,584000000.0,28800000.0,,,7280300000.0,,,,,168300000.0,4576300000.0,,,19385000000.0,19363500000.0,21500000.0,,2024-03-31
2136000.0,618340905.0,620476905.0,5752600000.0,6045100000.0,56085200000.0,62009300000.0,18084000000.0,56085200000.0,132100000.0,56096300000.0,56096300000.0,56096300000.0,56096300000.0,54859600000.0,,,1236700000.0,1236700000.0,15070000000.0,3420000000.0,,,599000000.0,2529400000.0,109300000.0,109300000.0,180300000.0,11650000000.0,211600000.0,5935800000.0,22800000.0,5913000000.0,,39700000.0,2207300000.0,,,4700000.0,2202600000.0,71166300000.0,41432300000.0,396400000.0,,28483000000.0,28483000000.0,,1215400000.0,,11100000.0,11100000.0,11038300000.0,,11038300000.0,598900000.0,10439400000.0,,,,,29734000000.0,736900000.0,,,,7118700000.0,,,,,186000000.0,3292700000.0,,,18399700000.0,18239300000.0,160400000.0,,2023-09-30
2136000.0,618340905.0,620476905.0,5178500000.0,5407200000.0,49022900000.0,54294900000.0,17563800000.0,49022900000.0,143100000.0,49030800000.0,49030800000.0,49030800000.0,49030800000.0,47794000000.0,30386500000.0,1764500000.0,1236700000.0,1236700000.0,13819900000.0,2460000000.0,-100000.0,181200000.0,662100000.0,1492700000.0,122100000.0,122100000.0,181200000.0,11359900000.0,513300000.0,5285100000.0,21000000.0,5264100000.0,44600000.0,44600000.0,4457500000.0,2469300000.0,339600000.0,3100000.0,1645500000.0,62850700000.0,33927000000.0,475700000.0,476700000.0,20694300000.0,20688300000.0,6000000.0,1103300000.0,1103300000.0,7900000.0,7900000.0,11111100000.0,-15394000000.0,26505100000.0,567300000.0,176000000.0,21767000000.0,2870500000.0,1124300000.0,0.0,28923700000.0,619100000.0,,339500000.0,624000000.0,6731500000.0,68500000.0,2168400000.0,799300000.0,3695300000.0,316100000.0,2975400000.0,0.0,2975400000.0,17937200000.0,17851600000.0,85600000.0,85600000.0,2023-03-31
