Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.225681,2090298000.0,41615000.0,3278040000.0,5839291000.0,9117331000.0,2090298000.0,2090298000.0,,,,,2090298000.0,2090298000.0,2090298000.0,2090298000.0,2090298000.0,609232000.0,2699530000.0,1037169000.0,729466000.0,41615000.0,41615000.0,3357802000.0,3357802000.0,2024-03-31
0.0,0.21726,2001397000.0,30890000.0,3288287000.0,5660150000.0,8948437000.0,2001397000.0,2001397000.0,133160146.0,133160146.0,15.03,15.03,2001397000.0,2001397000.0,2001397000.0,2001397000.0,2001397000.0,555516000.0,2556913000.0,432949000.0,156263000.0,30890000.0,30890000.0,3297912000.0,3297912000.0,2023-12-31
0.0,0.201613,1580744000.0,27561000.0,3167687000.0,5484478000.0,8652165000.0,1580744000.0,1580744000.0,133171356.0,133171356.0,11.87,11.87,1580744000.0,1580744000.0,1580744000.0,1580744000.0,1580744000.0,399179000.0,1979923000.0,458019000.0,180786000.0,27561000.0,27561000.0,3159810000.0,3159810000.0,2023-09-30
0.0,0.215653,1834549000.0,27081000.0,2850887000.0,5329980000.0,8180867000.0,1834549000.0,1834549000.0,133131277.0,133131277.0,13.78,13.78,1834549000.0,1834549000.0,1834549000.0,1834549000.0,1834549000.0,504401000.0,2338950000.0,367588000.0,133404000.0,27081000.0,27081000.0,2843591000.0,2843591000.0,2023-06-30
0.0,0.162592,1657969000.0,36567000.0,2642269000.0,4878796000.0,7521065000.0,1657969000.0,1657969000.0,,,,,1657969000.0,1657969000.0,1657969000.0,1657969000.0,1657969000.0,321914000.0,1979883000.0,435325000.0,-19492000.0,36567000.0,36567000.0,2641847000.0,2641847000.0,2023-03-31
,,,,,,,,,133120826.0,133120826.0,11.38,11.38,,,,,,,,,,,,,,2022-12-31
0.0,0.217404,1996404000.0,26332000.0,3214312000.0,6027276000.0,9241588000.0,1996404000.0,1996404000.0,133182388.0,133182388.0,14.99,14.99,1996404000.0,1996404000.0,1996404000.0,1996404000.0,1996404000.0,554597000.0,2551001000.0,424737000.0,165416000.0,26332000.0,26332000.0,3220479000.0,3220479000.0,2024-06-30 00:00:00
