Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Other Inventories
338445440.0,338445440.0,31030000000.0,40220000000.0,19350000000.0,107940000000.0,1850000000.0,19350000000.0,840000000.0,68560000000.0,84600000000.0,68560000000.0,68560000000.0,66870000000.0,,,1690000000.0,1690000000.0,82050000000.0,27790000000.0,10000000.0,,,6560000000.0,16680000000.0,640000000.0,16040000000.0,4450000000.0,54260000000.0,1300000000.0,23540000000.0,200000000.0,23340000000.0,4000000000.0,22570000000.0,,,1680000000.0,20890000000.0,150610000000.0,94500000000.0,150000000.0,,5550000000.0,,690000000.0,690000000.0,49210000000.0,45830000000.0,3380000000.0,35780000000.0,,35780000000.0,2810000000.0,32970000000.0,,,,,56110000000.0,3040000000.0,,,,22790000000.0,,,,30000000.0,,18440000000.0,,,11810000000.0,3460000000.0,8350000000.0,,,2024-03-31,
338445440.0,338445440.0,38780000000.0,44890000000.0,15300000000.0,111230000000.0,3740000000.0,15300000000.0,730000000.0,67070000000.0,88170000000.0,67070000000.0,67070000000.0,65380000000.0,,,1690000000.0,1690000000.0,80370000000.0,31390000000.0,10000000.0,,,5600000000.0,21610000000.0,510000000.0,21100000000.0,4080000000.0,48980000000.0,1230000000.0,23280000000.0,220000000.0,23060000000.0,4050000000.0,16690000000.0,,,80000000.0,16610000000.0,147440000000.0,94720000000.0,440000000.0,,5760000000.0,,980000000.0,980000000.0,51770000000.0,48400000000.0,3370000000.0,34550000000.0,,34550000000.0,2630000000.0,31920000000.0,,,,,52720000000.0,3550000000.0,,,,22180000000.0,,,,30000000.0,,17520000000.0,,,9440000000.0,4060000000.0,5380000000.0,,,2023-09-30,
338445440.0,338445440.0,47887700000.0,53685600000.0,7710600000.0,114953700000.0,-1335800000.0,7710600000.0,712600000.0,61980700000.0,86942900000.0,61980700000.0,61980700000.0,60290000000.0,33031900000.0,0.0,1692300000.0,1692300000.0,88137800000.0,33664800000.0,20000000.0,91100000.0,14600000.0,4019400000.0,25491500000.0,529300000.0,24962200000.0,3930600000.0,54473000000.0,1030000000.0,28194100000.0,183300000.0,28010800000.0,3937100000.0,20627200000.0,3478100000.0,48000000.0,313100000.0,16788000000.0,150118500000.0,96981300000.0,220000000.0,427400000.0,5436700000.0,0.0,711100000.0,711100000.0,54270100000.0,50895100000.0,3375000000.0,34598400000.0,-18203900000.0,52802300000.0,6882400000.0,2455500000.0,23543900000.0,12322200000.0,7598300000.0,0.0,53137200000.0,3030000000.0,0.0,48000000.0,1265600000.0,22296400000.0,13034200000.0,1164700000.0,8097500000.0,1819100000.0,1042400000.0,19438200000.0,-108500000.0,19546700000.0,7227500000.0,2142200000.0,5085300000.0,379800000.0,4705500000.0,2023-03-31,
