Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,100000000.0,100000000.0,3003491000.0,3191386000.0,9304759000.0,12329149000.0,1861150000.0,9304759000.0,185162000.0,9322925000.0,10878359000.0,9322925000.0,9322925000.0,9222925000.0,,100000000.0,100000000.0,4721806000.0,2164851000.0,1080000.0,,,,0.0,1691931000.0,136497000.0,1555434000.0,124231000.0,2556955000.0,127503000.0,1499455000.0,48665000.0,1450790000.0,,12720000.0,690660000.0,,,49344000.0,641316000.0,14044731000.0,9626626000.0,5017000.0,,367286000.0,7372000.0,7372000.0,18166000.0,18166000.0,9228785000.0,,9228785000.0,696409000.0,8532376000.0,,,,,4418105000.0,333905000.0,,,2221032000.0,,,,,,0.0,1631366000.0,,,231802000.0,229069000.0,2733000.0,,2024-03-31
0.0,100000000.0,100000000.0,4054768000.0,4246969000.0,8508888000.0,12590661000.0,1258176000.0,8508888000.0,187366000.0,8531058000.0,10336077000.0,8531058000.0,8531058000.0,8431058000.0,,100000000.0,100000000.0,5883395000.0,2474944000.0,1194000.0,,,,0.0,1963337000.0,158318000.0,1805019000.0,118671000.0,3408451000.0,112415000.0,2283632000.0,29048000.0,2254584000.0,,13812000.0,834884000.0,,,113114000.0,721770000.0,14414453000.0,9747826000.0,6783000.0,,309843000.0,68616000.0,68616000.0,22170000.0,22170000.0,9340414000.0,,9340414000.0,1772969000.0,7567445000.0,,,,,4666627000.0,410402000.0,,,2235536000.0,,,,,,0.0,1807976000.0,,,212713000.0,207878000.0,4835000.0,,2023-09-30
,100000000.0,100000000.0,4189785000.0,4347055000.0,7309985000.0,11525862000.0,1405709000.0,7309985000.0,153167000.0,7331974000.0,9910401000.0,7331974000.0,7331974000.0,,7094878000.0,100000000.0,100000000.0,6389651000.0,3420988000.0,1000.0,8017000.0,105990000.0,1308000.0,0.0,2702546000.0,124119000.0,2578427000.0,,2968663000.0,,1644509000.0,29048000.0,1615461000.0,11982000.0,,1166017000.0,65777000.0,767000.0,0.0,1099473000.0,13721625000.0,9347253000.0,8449000.0,2752000.0,344825000.0,65249000.0,65249000.0,21989000.0,21989000.0,8903989000.0,-4904905000.0,13808894000.0,1884386000.0,1746741000.0,9115707000.0,959122000.0,102938000.0,0.0,4374372000.0,840000.0,180205000.0,234455000.0,2040070000.0,443563000.0,157108000.0,104358000.0,1335041000.0,5084000.0,,1904386000.0,-4496000.0,1908882000.0,9332000.0,5229000.0,4103000.0,4103000.0,2023-03-31
