Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Other Operating Expenses,Total Revenue,Operating Revenue,Date,Net Policyholder Benefits And Claims
0.0,0.344933,,,3057600000.0,3057600000.0,3057600000.0,113453300000.0,,,,,3108800000.0,3108800000.0,-51200000.0,3057600000.0,-20200000.0,3077800000.0,3077900000.0,1620700000.0,4698600000.0,0.0,,,18722100000.0,117200800000.0,117200800000.0,2024-03-31,
0.0,0.177092,0.0,0.0,7128000000.0,7128000000.0,7128000000.0,104690100000.0,1647260274.0,1647260274.0,4.38,4.38,7215000000.0,7215000000.0,-87000000.0,7128000000.0,-2000000.0,7130000000.0,7130000000.0,1534400000.0,8664400000.0,0.0,0.0,0.0,872500000.0,113329400000.0,113329400000.0,2023-12-31,
0.0,0.192859,0.0,0.0,-1961000000.0,-1961000000.0,-1961000000.0,108015400000.0,1646074766.0,1646074766.0,-1.07,-1.07,-1761300000.0,-1761300000.0,-199700000.0,-1961000000.0,-7800000.0,-1953200000.0,-1953200000.0,-466700000.0,-2419900000.0,0.0,0.0,0.0,1124200000.0,105417300000.0,105417300000.0,2023-09-30,
0.0,0.164065,0.0,0.0,2647100000.0,2647100000.0,2647100000.0,95667300000.0,1647025316.0,1647025316.0,1.58,1.58,2602300000.0,2602300000.0,44800000.0,2647100000.0,-9500000.0,2656600000.0,2656600000.0,521400000.0,3178000000.0,0.0,0.0,0.0,1229700000.0,98616900000.0,98616900000.0,2023-06-30,
0.0,0.041203,,,1463245000.0,1463245000.0,1463245000.0,110433296000.0,,,,,1261208000.0,1261208000.0,202037000.0,1463245000.0,23925000.0,1439320000.0,1439320000.0,61853000.0,1501173000.0,1730411000.0,,,-21477096000.0,112880069000.0,112880069000.0,2023-03-31,
,,0.0,0.0,,,,,1648143177.0,1648143177.0,4.47,4.47,,,,,,,,,,,0.0,0.0,,,,2022-12-31,
0.0,0.144401,0.0,0.0,2292300000.0,2292300000.0,2292300000.0,101294100000.0,1650413793.0,1650413793.0,1.45,1.45,2393100000.0,2393100000.0,-100800000.0,2292300000.0,-35700000.0,2328000000.0,2328000000.0,392900000.0,2720900000.0,0.0,0.0,0.0,123600000.0,103847900000.0,103847900000.0,2024-06-30 00:00:00,
