Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
205614788.0,205614788.0,,2429300000.0,24978600000.0,27767000000.0,11604200000.0,24978600000.0,763100000.0,26100800000.0,26100800000.0,26126300000.0,25500000.0,26100800000.0,25689600000.0,,,411200000.0,411200000.0,40056200000.0,1260100000.0,409100000.0,,76600000.0,69800000.0,545300000.0,545300000.0,0.0,159300000.0,38796100000.0,8814400000.0,1884000000.0,217800000.0,1666200000.0,768600000.0,26799300000.0,,,633300000.0,26166000000.0,66182500000.0,15782200000.0,1114200000.0,,72800000.0,,430800000.0,430800000.0,,,97200000.0,1122200000.0,1122200000.0,11696600000.0,,11696600000.0,1080600000.0,10616000000.0,,,,,50400300000.0,10113300000.0,,0.0,,,14071800000.0,,,,26200000.0,19525600000.0,,,6663400000.0,2927000000.0,3736400000.0,,,2024-03-31
205614788.0,205614788.0,3661400000.0,8700300000.0,22537000000.0,31429900000.0,12399600000.0,22537000000.0,791900000.0,23521500000.0,25021500000.0,23554700000.0,33200000.0,23521500000.0,23110300000.0,,,411200000.0,411200000.0,36973700000.0,2673900000.0,404900000.0,,82400000.0,,2064600000.0,564600000.0,1500000000.0,122000000.0,34299800000.0,7838600000.0,6635700000.0,227300000.0,6408400000.0,783700000.0,18635000000.0,,,177500000.0,18457500000.0,60528400000.0,13829000000.0,1356000000.0,,126200000.0,,418300000.0,418300000.0,,,100200000.0,984500000.0,984500000.0,10221800000.0,,10221800000.0,1409400000.0,8812400000.0,,,,,46699400000.0,9756300000.0,,0.0,,,13550300000.0,,,,26500000.0,12446800000.0,,,10919500000.0,6672500000.0,4247000000.0,,,2023-09-30
192627776.0,192627776.0,3343100000.0,6619500000.0,12493000000.0,19082900000.0,4668600000.0,12493000000.0,843100000.0,13306500000.0,14923900000.0,13338400000.0,31900000.0,13306500000.0,6000000.0,8967900000.0,2124900000.0,192600000.0,192600000.0,40652200000.0,2814700000.0,373400000.0,189100000.0,260000000.0,,2251500000.0,634100000.0,1617400000.0,114100000.0,37837500000.0,88500000.0,4368000000.0,209000000.0,4159000000.0,650000000.0,26064600000.0,766200000.0,38500000.0,148300000.0,25111600000.0,53990600000.0,11484500000.0,864000000.0,1009900000.0,79400000.0,0.0,384000000.0,384000000.0,182200000.0,182200000.0,103200000.0,813500000.0,813500000.0,8505400000.0,-3493100000.0,11998500000.0,609300000.0,7896100000.0,6694400000.0,4494500000.0,200300000.0,0.0,42506100000.0,8737300000.0,0.0,16300000.0,39400000.0,2336900000.0,14333900000.0,7237400000.0,1012700000.0,6083800000.0,5826300000.0,16221200000.0,-1279900000.0,17501100000.0,3732100000.0,1298800000.0,2433300000.0,983900000.0,1449400000.0,2023-03-31
