Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
27233312.0,27233312.0,265930000.0,404370000.0,8378950000.0,8788580000.0,4184900000.0,8378950000.0,390000.0,8384600000.0,8384600000.0,8384600000.0,8384600000.0,8112270000.0,,,272330000.0,272330000.0,2201310000.0,662480000.0,,179310000.0,450710000.0,90000.0,90000.0,,32370000.0,1538830000.0,11830000.0,,404280000.0,300000.0,403980000.0,,6900000.0,1050380000.0,,9170000.0,1041210000.0,10585910000.0,4862180000.0,365910000.0,,22160000.0,22160000.0,5650000.0,,4448800000.0,,4448800000.0,597190000.0,3851610000.0,,,,,5723730000.0,295970000.0,,2631760000.0,,,,,360000.0,2206830000.0,,,588810000.0,450760000.0,138050000.0,,,2023-09-30
27233312.0,27233312.0,598220000.0,815270000.0,7423870000.0,8244820000.0,3399790000.0,7423870000.0,500000.0,7430050000.0,7430050000.0,7430050000.0,7430050000.0,7157720000.0,4854530000.0,2303190000.0,272330000.0,272330000.0,2702480000.0,656320000.0,-20000.0,179310000.0,445150000.0,170000.0,170000.0,0.0,31690000.0,2046160000.0,21530000.0,45340000.0,815100000.0,330000.0,814770000.0,49430000.0,,1123060000.0,13360000.0,,1109700000.0,10132530000.0,4686580000.0,184360000.0,287920000.0,116190000.0,116190000.0,6180000.0,6180000.0,4360190000.0,-1028700000.0,5388890000.0,458390000.0,820000.0,4048250000.0,615550000.0,265880000.0,0.0,5445950000.0,185720000.0,215720000.0,2555790000.0,16880000.0,1070690000.0,465320000.0,1002900000.0,45840000.0,2284600000.0,-16190000.0,2300790000.0,344000000.0,127450000.0,216550000.0,39970000.0,176580000.0,2023-03-31
