Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Raw Materials,Other Receivables,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
132377000.0,132377000.0,239486000.0,241147000.0,7355909000.0,7596010000.0,-401786000.0,7355909000.0,1046000.0,7355909000.0,7515567000.0,7355909000.0,7355909000.0,7223532000.0,,,,132377000.0,132377000.0,2763737000.0,2327745000.0,177227000.0,,,1434837000.0,160052000.0,394000.0,159658000.0,221129000.0,435992000.0,126165000.0,,81095000.0,652000.0,80443000.0,,5031000.0,164086000.0,,,158718000.0,5368000.0,10119646000.0,10085440000.0,113000.0,,3974054000.0,3974054000.0,6111273000.0,,6111273000.0,0.0,6111273000.0,,,,,34206000.0,845000.0,,,0.0,,,33361000.0,32746000.0,615000.0,,,2023-09-30
132377000.0,132377000.0,274035000.0,283729000.0,6997257000.0,7279783000.0,-269034000.0,6997257000.0,1203000.0,6997257000.0,7203332000.0,6997257000.0,6997257000.0,6864880000.0,2953027000.0,2361064000.0,4997000.0,132377000.0,132377000.0,2662752000.0,2305535000.0,193378000.0,206575000.0,193378000.0,1378980000.0,206643000.0,568000.0,206075000.0,206575000.0,357217000.0,50522000.0,111630000.0,77086000.0,635000.0,76451000.0,4928000.0,4928000.0,47044000.0,31870000.0,12185000.0,111630000.0,2989000.0,9660009000.0,9571826000.0,123000.0,12472000.0,3437411000.0,3437411000.0,6121943000.0,-95107000.0,6217050000.0,0.0,13000.0,2892000.0,529246000.0,5684899000.0,0.0,88183000.0,,12185000.0,4612000.0,0.0,0.0,895000.0,70491000.0,62000000.0,8491000.0,5500000.0,2991000.0,2023-03-31
