Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.244165,5615400000.0,650500000.0,14942500000.0,7791700000.0,22734200000.0,5615400000.0,5615400000.0,,,,,5615400000.0,5615400000.0,5615400000.0,-19600000.0,5634900000.0,5634900000.0,1820300000.0,7455200000.0,265800000.0,6350900000.0,1541800000.0,650500000.0,650500000.0,15684300000.0,15684300000.0,2024-03-31
0.0,0.268454,5728700000.0,624500000.0,14524300000.0,7487000000.0,22011300000.0,5728700000.0,5728700000.0,843696613.0,843696613.0,6.79,6.79,5728700000.0,5728700000.0,5728700000.0,-24400000.0,5753100000.0,5753100000.0,2111200000.0,7864300000.0,317500000.0,6265600000.0,1511600000.0,624500000.0,624500000.0,15626200000.0,15626200000.0,2023-12-31
0.0,0.250181,5583700000.0,625000000.0,13543300000.0,6894400000.0,20437700000.0,5583700000.0,5583700000.0,843459215.0,843459215.0,6.62,6.62,5583700000.0,5583700000.0,5583700000.0,-22800000.0,5606500000.0,5606500000.0,1868100000.0,7467000000.0,645400000.0,6076700000.0,1706300000.0,625000000.0,625000000.0,14741000000.0,14741000000.0,2023-09-30
0.0,0.268521,4958900000.0,564600000.0,12878800000.0,6484000000.0,19362800000.0,4958900000.0,4958900000.0,843350340.0,843350340.0,5.88,5.88,4958900000.0,4958900000.0,4958900000.0,-21300000.0,4980200000.0,4980200000.0,1828200000.0,6808400000.0,603500000.0,5966800000.0,1462500000.0,564600000.0,564600000.0,13986900000.0,13986900000.0,2023-06-30
0.0,0.267007,4133780000.0,561170000.0,11249530000.0,5891150000.0,17140680000.0,4133780000.0,4133780000.0,,,,,4133780000.0,4133780000.0,4133780000.0,-19130000.0,4152920000.0,4152920000.0,1512780000.0,5665700000.0,304610000.0,5902800000.0,-391790000.0,561170000.0,561170000.0,11259140000.0,11259140000.0,2023-03-31
,,,,,,,,,843376344.0,843376344.0,4.65,4.65,,,,,,,,,,,,,,,,2022-12-31
0.0,0.260733,5546200000.0,643900000.0,15377800000.0,8483000000.0,23860800000.0,5546200000.0,5546200000.0,842887538.0,842887538.0,6.58,6.58,5546200000.0,5546200000.0,5546200000.0,-19000000.0,5565200000.0,5565200000.0,1962800000.0,7528000000.0,351400000.0,6646900000.0,1539200000.0,643900000.0,643900000.0,16460500000.0,16460500000.0,2024-06-30 00:00:00
