Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,136245630.0,136245630.0,14207000.0,165268000.0,23649671000.0,23794200000.0,21542233000.0,23649671000.0,25865000.0,23654797000.0,23794200000.0,26892732000.0,3237935000.0,23654797000.0,23518551000.0,,,136246000.0,136246000.0,4089190000.0,584243000.0,72112000.0,,,302889000.0,157905000.0,18502000.0,139403000.0,14137000.0,3504947000.0,213859000.0,7363000.0,7363000.0,0.0,,26574000.0,3212754000.0,,,3212754000.0,30981922000.0,5934742000.0,86083000.0,,0.0,400726000.0,,400726000.0,,129005000.0,,5126000.0,,5052902000.0,,5052902000.0,88136000.0,4964766000.0,,,,,25047180000.0,288007000.0,,,,8863363000.0,,,,,16012000.0,,1434196000.0,,,14445602000.0,14320406000.0,125196000.0,,2024-03-31
0.0,136245630.0,136245630.0,,100630000.0,21903376000.0,21977120000.0,19847662000.0,21903376000.0,28327000.0,21904817000.0,21977120000.0,24861864000.0,2957047000.0,21904817000.0,21768571000.0,,,136246000.0,136246000.0,4880742000.0,494335000.0,87225000.0,,,268308000.0,93270000.0,20967000.0,72303000.0,8332000.0,4386407000.0,218458000.0,7360000.0,7360000.0,,,42732000.0,4090529000.0,,,4090529000.0,29742606000.0,5508537000.0,225321000.0,,0.0,394411000.0,,394411000.0,,133755000.0,,1441000.0,,4626637000.0,,4626637000.0,347784000.0,4278853000.0,,,,,24234069000.0,244112000.0,,,,7413855000.0,,,,,12777000.0,,1026865000.0,,,15536460000.0,14802974000.0,733486000.0,,2023-09-30
,136245630.0,136245630.0,,30535000.0,20953003000.0,20954840000.0,18876001000.0,20953003000.0,30535000.0,20954840000.0,20954840000.0,23768478000.0,2813638000.0,20954840000.0,-1000.0,18308023000.0,0.0,136246000.0,136246000.0,3578008000.0,346536000.0,99987000.0,11682000.0,99987000.0,175731000.0,21936000.0,21936000.0,0.0,11682000.0,3231472000.0,372395000.0,8599000.0,8599000.0,0.0,17778000.0,17778000.0,2869146000.0,42866000.0,19984000.0,2806296000.0,27346486000.0,5239013000.0,3000.0,348358000.0,0.0,258678000.0,151281000.0,107077000.0,320000.0,130590000.0,130590000.0,1837000.0,1837000.0,4311670000.0,-2187367000.0,6499037000.0,337857000.0,583318000.0,3430615000.0,1359755000.0,787492000.0,0.0,22107473000.0,48117000.0,7150000.0,48281000.0,135354000.0,8052639000.0,99277000.0,2756174000.0,102627000.0,5094561000.0,113529000.0,12000.0,1214514000.0,-24582000.0,1239096000.0,12487877000.0,12134225000.0,353652000.0,353652000.0,2023-03-31
