Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
277524564.0,277524564.0,7793900000.0,11442500000.0,34646400000.0,47291700000.0,8459400000.0,34646400000.0,197000000.0,36046200000.0,43911300000.0,36046200000.0,36046200000.0,35491100000.0,,,555100000.0,555100000.0,35821700000.0,10867500000.0,1289900000.0,,,1257900000.0,8056100000.0,191000000.0,7865100000.0,260100000.0,24954200000.0,711600000.0,,3386400000.0,6000000.0,3380400000.0,,12800000.0,20238900000.0,,,422600000.0,19816300000.0,71867900000.0,38454300000.0,2161500000.0,,1350000000.0,,1350000000.0,,1399800000.0,24800000.0,1375000000.0,33439700000.0,,33439700000.0,2029900000.0,31409800000.0,,,,,33413600000.0,3320400000.0,,0.0,,,16379300000.0,,,,,36300000.0,,1390800000.0,,,12286800000.0,8835200000.0,3451600000.0,,,2024-03-31
277330814.0,277330814.0,7899900000.0,11764700000.0,31401300000.0,44355600000.0,6236100000.0,31401300000.0,212500000.0,32803400000.0,38740100000.0,32803400000.0,32803400000.0,32248700000.0,,,554700000.0,554700000.0,30193500000.0,8781000000.0,1201200000.0,,,1214500000.0,6128800000.0,192100000.0,5936700000.0,233300000.0,21412500000.0,1495800000.0,,5635900000.0,20400000.0,5615500000.0,15100000.0,15100000.0,13853400000.0,,,652400000.0,13201000000.0,62996900000.0,35348300000.0,2310700000.0,,730600000.0,,730600000.0,,1402100000.0,27100000.0,1375000000.0,30844600000.0,,30844600000.0,3605000000.0,27239600000.0,,,,,27648600000.0,2793700000.0,,0.0,,,13633000000.0,,,,,14300000.0,,1445400000.0,,,9762200000.0,6109900000.0,3652300000.0,,,2023-09-30
277330814.0,277330814.0,7502200000.0,8730100000.0,28668800000.0,38785300000.0,3775200000.0,28668800000.0,900000.0,30056100000.0,34137400000.0,30056100000.0,30056100000.0,18200000.0,25093700000.0,4036900000.0,554700000.0,554700000.0,28460200000.0,6657700000.0,1182200000.0,217800000.0,1182200000.0,1176400000.0,4081300000.0,0.0,4081300000.0,217800000.0,21802500000.0,278700000.0,197200000.0,4648800000.0,900000.0,4647900000.0,15000000.0,,16318600000.0,263200000.0,5600000.0,197200000.0,16049800000.0,58516300000.0,32938600000.0,2023500000.0,410400000.0,960400000.0,31500000.0,918300000.0,10600000.0,1387300000.0,12300000.0,1375000000.0,30109400000.0,-5577000000.0,35686400000.0,5692200000.0,24417200000.0,21495800000.0,5804800000.0,2693600000.0,0.0,25577700000.0,-100000.0,9900000.0,192700000.0,2297800000.0,701500000.0,14798700000.0,362500000.0,6751700000.0,3755500000.0,3929000000.0,220000000.0,1985800000.0,1374400000.0,-22500000.0,1396900000.0,3997000000.0,2770000000.0,1227000000.0,0.0,1227000000.0,2023-03-31
