Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Retained Earnings,Additional Paid In Capital,Non Current Pension And Other Postretirement Benefit Plans,Current Deferred Taxes Liabilities,Pensionand Other Post Retirement Benefit Plans Current,Other Payable,Non Current Prepaid Assets,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Properties,Restricted Cash,Prepaid Assets,Finished Goods,Work In Process,Raw Materials,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Equivalents,Cash Financial
13237205.0,13237205.0,2853946000.0,3100572000.0,2440635000.0,5428699000.0,1451143000.0,2440635000.0,113044000.0,2441171000.0,2617443000.0,2441171000.0,2441171000.0,132372000.0,132372000.0,3415255000.0,301178000.0,-1000.0,24487000.0,267088000.0,90816000.0,176272000.0,9604000.0,3114077000.0,8092000.0,2833484000.0,22228000.0,2811256000.0,3525000.0,57631000.0,14298000.0,43333000.0,5856426000.0,1291207000.0,14694000.0,0.0,916724000.0,916724000.0,310000.0,536000.0,536000.0,0.0,358943000.0,358943000.0,10113000.0,348830000.0,4565220000.0,109801000.0,2661311000.0,1290000.0,0.0,1021495000.0,771323000.0,637741000.0,133582000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,
10743880.0,10743880.0,1749918000.0,1923293000.0,1138854000.0,2940020000.0,301239000.0,1138854000.0,122702000.0,1139429000.0,1263057000.0,1139429000.0,1139429000.0,107439000.0,107439000.0,2065118000.0,260868000.0,,26565000.0,225807000.0,102179000.0,123628000.0,8496000.0,1804250000.0,14096000.0,1697486000.0,20523000.0,1676963000.0,12808000.0,64517000.0,44858000.0,19659000.0,3204547000.0,1099058000.0,7494000.0,0.0,762560000.0,762560000.0,24505000.0,575000.0,575000.0,0.0,303924000.0,303924000.0,0.0,303924000.0,2105489000.0,65665000.0,1012747000.0,1171000.0,0.0,969991000.0,55915000.0,5242000.0,50673000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,
10743880.0,10743880.0,1275448000.0,1464390000.0,980706000.0,2440609000.0,386970000.0,980706000.0,5126000.0,981345000.0,1129159000.0,981345000.0,981345000.0,107439000.0,107439000.0,1540545000.0,191086000.0,,35091000.0,148188000.0,374000.0,147814000.0,7807000.0,1349459000.0,879000.0,1316202000.0,4752000.0,1311450000.0,468000.0,20451000.0,9939000.0,14781000.0,2521890000.0,785461000.0,-1000.0,0.0,682683000.0,682683000.0,24505000.0,639000.0,639000.0,0.0,68125000.0,120693000.0,1736000.0,13101000.0,1736429000.0,-1000.0,852252000.0,2350000.0,18608000.0,670341000.0,186175000.0,2359000.0,183816000.0,2023-03-31 00:00:00,549753000.0,209861000.0,7807000.0,9939000.0,1519000.0,5670000.0,9510000.0,-52568000.0,80261000.0,25595000.0,0.0,0.0,6704000.0,793413000.0,58839000.0,0.0,-2710000.0,673051000.0,0.0,183816000.0
