Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Deferred Revenue
102388120.0,102388120.0,7577100000.0,12517300000.0,11460400000.0,23095200000.0,1049900000.0,11460400000.0,884200000.0,11462100000.0,19587400000.0,11462100000.0,11462100000.0,11359700000.0,,,102400000.0,102400000.0,21740600000.0,11452100000.0,400200000.0,,709700000.0,8937600000.0,812300000.0,8125300000.0,147300000.0,10288500000.0,75500000.0,3579700000.0,71900000.0,3507800000.0,,24400000.0,5172100000.0,,,8900000.0,5163200000.0,33202700000.0,21864300000.0,1254200000.0,,,1449800000.0,1449800000.0,1700000.0,,19111100000.0,,19111100000.0,11996100000.0,7115000000.0,,,,,11338400000.0,489200000.0,,,,2508300000.0,,,,,,116900000.0,1831500000.0,,,6392500000.0,2336500000.0,4056000000.0,,,2024-03-31,
102388120.0,102388120.0,5144100000.0,9869300000.0,12127200000.0,21274900000.0,3015900000.0,12127200000.0,723100000.0,12128700000.0,19110400000.0,12128700000.0,12128700000.0,12026300000.0,,,102400000.0,102400000.0,16626200000.0,8826500000.0,232600000.0,,794100000.0,7676600000.0,694900000.0,6981700000.0,123200000.0,7799700000.0,58500000.0,2192700000.0,28200000.0,2164500000.0,,42800000.0,4536600000.0,,,0.0,4536600000.0,28754900000.0,17939300000.0,942000000.0,,,1733900000.0,1733900000.0,1500000.0,,15196500000.0,,15196500000.0,8501800000.0,6694700000.0,,,,,10815600000.0,439800000.0,,,,2179700000.0,,,,,,96500000.0,1864800000.0,,,6234800000.0,2232700000.0,4002100000.0,,,2023-09-30,
102388120.0,102388120.0,915600000.0,5140000000.0,11917300000.0,16330500000.0,1870300000.0,11917300000.0,728700000.0,11919200000.0,13394700000.0,11919200000.0,11919200000.0,11816800000.0,8692900000.0,197100000.0,102400000.0,102400000.0,11683200000.0,3028100000.0,,113500000.0,772500000.0,2142100000.0,666600000.0,1475500000.0,113500000.0,8655100000.0,6900000.0,2997900000.0,62100000.0,2935800000.0,37400000.0,37400000.0,5585500000.0,595000000.0,13500000.0,6400000.0,4970600000.0,23602400000.0,13077000000.0,4700000.0,973700000.0,0.0,1323400000.0,1323400000.0,1900000.0,1900000.0,10773300000.0,-2822100000.0,13595400000.0,4063900000.0,1224300000.0,7192200000.0,407600000.0,707400000.0,0.0,10525400000.0,6200000.0,100000.0,873600000.0,825700000.0,3191700000.0,53400000.0,288100000.0,198600000.0,2651600000.0,23400000.0,133200000.0,1019300000.0,-101200000.0,1120500000.0,4585400000.0,1089700000.0,3495700000.0,1011100000.0,2484600000.0,2023-03-31,
