Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Current Deferred Taxes Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Other Inventories
254280483.0,254280483.0,342291000.0,1153912000.0,8027069000.0,9312743000.0,2463300000.0,8027069000.0,57976000.0,8216807000.0,8812318000.0,8216807000.0,,8216807000.0,7962527000.0,,,254280000.0,254280000.0,4530831000.0,744706000.0,,650562000.0,55051000.0,595511000.0,94144000.0,3786125000.0,205890000.0,503350000.0,2925000.0,500425000.0,99421000.0,2694968000.0,,,23691000.0,2671277000.0,12747638000.0,6498213000.0,330043000.0,,118448000.0,37606000.0,37606000.0,46968000.0,189738000.0,,5725441000.0,,5725441000.0,930565000.0,4794876000.0,,,,,6249425000.0,177859000.0,0.0,,,,2011421000.0,,,,,440000.0,0.0,3303544000.0,756161000.0,2516000.0,753645000.0,,,2024-03-31,
244480469.0,244480469.0,154118000.0,690160000.0,7106732000.0,7981303000.0,2211965000.0,7106732000.0,50413000.0,7341556000.0,7573426000.0,7641139000.0,299583000.0,7341556000.0,7097076000.0,,,244480000.0,244480000.0,4129483000.0,374416000.0,3576000.0,282283000.0,50413000.0,231870000.0,88557000.0,3755067000.0,183182000.0,407877000.0,,407877000.0,101323000.0,2750447000.0,,,35978000.0,2714469000.0,11770622000.0,5803590000.0,208654000.0,,116095000.0,35927000.0,35927000.0,51658000.0,234824000.0,,5123342000.0,,5123342000.0,417360000.0,4705982000.0,,,,,5967032000.0,185543000.0,0.0,,,,1947701000.0,,,,,469000.0,0.0,3343782000.0,489537000.0,3908000.0,485629000.0,,,2023-09-30,
244480469.0,244480469.0,122633000.0,617636000.0,6791874000.0,7604801000.0,2492871000.0,6791874000.0,40536000.0,7027701000.0,7336680000.0,7337190000.0,309489000.0,7027701000.0,6783221000.0,4913651000.0,807076000.0,244480000.0,244480000.0,3405291000.0,451288000.0,5463000.0,349515000.0,40536000.0,308979000.0,96310000.0,2954003000.0,143896000.0,268121000.0,,268121000.0,100415000.0,2554934000.0,313140000.0,11526000.0,27796000.0,2202472000.0,10742481000.0,5295607000.0,51163000.0,85774000.0,122154000.0,34611000.0,34611000.0,54333000.0,235827000.0,235827000.0,4766560000.0,-4595297000.0,9361857000.0,251160000.0,290370000.0,6261925000.0,1933164000.0,625238000.0,0.0,5446874000.0,172416000.0,2114000.0,17130000.0,11526000.0,163329000.0,1876244000.0,-58588000.0,419443000.0,150120000.0,1365269000.0,16341000.0,17130000.0,2805723000.0,554467000.0,100000000.0,454467000.0,439500000.0,14967000.0,2023-03-31,
