Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
328194980.0,328194980.0,1016061000.0,1430517000.0,3735343000.0,5486600000.0,1254399000.0,3735343000.0,240291000.0,4296374000.0,4562172000.0,4410300000.0,113926000.0,4296374000.0,3968179000.0,,,328195000.0,328195000.0,2531265000.0,653032000.0,,164343000.0,470361000.0,204563000.0,265798000.0,18328000.0,1878233000.0,334989000.0,,960156000.0,35728000.0,924428000.0,502866000.0,,,23910000.0,478956000.0,6941565000.0,3808934000.0,92181000.0,,201749000.0,201749000.0,561031000.0,14029000.0,547002000.0,2953973000.0,,2953973000.0,966473000.0,1987500000.0,,,,,3132632000.0,191576000.0,,,707207000.0,,,,,,1500374000.0,,,733475000.0,559310000.0,174165000.0,,,2024-03-31
307425000.0,307425000.0,,959724000.0,3395997000.0,4539563000.0,935117000.0,3395997000.0,257907000.0,3837746000.0,4020889000.0,3978600000.0,140854000.0,3837746000.0,3530321000.0,,,307425000.0,307425000.0,2399559000.0,503012000.0,,60079000.0,419449000.0,236306000.0,183143000.0,23484000.0,1896547000.0,1182654000.0,,540275000.0,21601000.0,518674000.0,164953000.0,,,0.0,164953000.0,6378159000.0,3546496000.0,160201000.0,,355870000.0,355870000.0,441749000.0,6512000.0,435237000.0,2588676000.0,,2588676000.0,649069000.0,1939607000.0,,,,,2831664000.0,157689000.0,,,521038000.0,,,,,,943308000.0,,,1209629000.0,286485000.0,923144000.0,,,2023-09-30
307425000.0,307425000.0,276217000.0,684781000.0,2676742000.0,3097295000.0,1027870000.0,2676742000.0,271092000.0,2683606000.0,2693709000.0,2683606000.0,,2683606000.0,2376181000.0,1244844000.0,887948000.0,307425000.0,307425000.0,1053863000.0,307604000.0,14915000.0,51976000.0,240713000.0,230610000.0,10103000.0,,746259000.0,14889000.0,0.0,444068000.0,40482000.0,403586000.0,242843000.0,34294000.0,56000.0,0.0,208493000.0,3737469000.0,1963340000.0,3000.0,45251000.0,181500000.0,181500000.0,6864000.0,6864000.0,,1729722000.0,-221007000.0,1950729000.0,513466000.0,2670000.0,622234000.0,533508000.0,278851000.0,0.0,1774129000.0,2000.0,56000.0,131564000.0,466028000.0,8536000.0,185708000.0,37208000.0,234576000.0,47291000.0,801690000.0,-10162000.0,811852000.0,327498000.0,190026000.0,137472000.0,0.0,137472000.0,2023-03-31
