Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Date
-142007169.12793,0.184902,-768014000.0,-768014000.0,3707400000.0,13370304000.0,14924692000.0,28294996000.0,4333406830.87207,3707400000.0,,,,,3707400000.0,3707400000.0,3707400000.0,3707400000.0,0.0,3707400000.0,841009000.0,4548409000.0,-768014000.0,12284953000.0,6726216000.0,18926497000.0,18926497000.0,2024-03-31
0.0,0.246714,0.0,0.0,3752479000.0,13248740000.0,14109463000.0,27358203000.0,3752479000.0,3752479000.0,672487276.0,668891087.0,5.58,5.61,3752479000.0,3752479000.0,3752479000.0,3752479000.0,0.0,3752479000.0,1228999000.0,4981478000.0,0.0,11174803000.0,5887314000.0,17745650000.0,17745650000.0,2023-12-31
0.0,0.246626,0.0,0.0,4018349000.0,12489665000.0,12820884000.0,25310549000.0,4018349000.0,4018349000.0,671964716.0,667499834.0,5.98,6.02,4018349000.0,4018349000.0,4018349000.0,4018349000.0,0.0,4018349000.0,1315453000.0,5333802000.0,0.0,10267345000.0,5147192000.0,16744297000.0,16744297000.0,2023-09-30
0.0,0.245905,0.0,0.0,3868963000.0,12462130000.0,12121254000.0,24583384000.0,3868963000.0,3868963000.0,670530849.0,667062586.0,5.77,5.8,3868963000.0,3868963000.0,3868963000.0,3868963000.0,0.0,3868963000.0,1261640000.0,5130603000.0,0.0,10152920000.0,5082493000.0,15613323000.0,15613323000.0,2023-06-30
0.0,0.198866,0.0,0.0,4246322000.0,12132033000.0,10616486000.0,22748519000.0,4246322000.0,4246322000.0,669766877.0,666612559.0,6.34,6.37,4246322000.0,4246322000.0,4246322000.0,4246322000.0,,4246322000.0,1054064000.0,5300386000.0,0.0,9753485000.0,4928325000.0,15462637000.0,15462637000.0,2023-03-31
,,,,,,,,,,669213288.0,665810508.0,5.87,5.9,,,,,0.0,,,,,,,,,2022-12-31
0.0,0.248653,0.0,0.0,5025712000.0,19205862000.0,18484556000.0,37690418000.0,5025712000.0,5025712000.0,745654599.0,742350369.0,6.74,6.77,5025712000.0,5025712000.0,5025712000.0,5025712000.0,0.0,5025712000.0,1663226000.0,6688938000.0,0.0,14781138000.0,6879783000.0,24662439000.0,24662439000.0,2024-06-30 00:00:00
