Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Reconciled Depreciation,Other Special Charges,Depreciation And Amortization In Income Statement,Depreciation Income Statement
-1260365.783287,0.120058,370282000.0,-10498000.0,-10498000.0,49407000.0,1508378000.0,359784000.0,359784000.0,-303636000.0,303636000.0,58644634.216713,49407000.0,1999352000.0,,,,,49407000.0,49407000.0,0.0,49407000.0,49407000.0,49407000.0,6741000.0,56148000.0,509602000.0,-10498000.0,-303636000.0,303636000.0,-139320000.0,490974000.0,339427000.0,351654000.0,1508378000.0,1860032000.0,1860032000.0,2024-03-31,,,,
11336925.954858,0.201416,507330000.0,56286000.0,56286000.0,154367000.0,1327367000.0,563616000.0,563616000.0,-370315000.0,370315000.0,109417925.954858,154367000.0,1789298000.0,49476603.0,49476603.0,3.12,3.12,154367000.0,154367000.0,0.0,154367000.0,154367000.0,154367000.0,38934000.0,193301000.0,625719000.0,56286000.0,-370315000.0,370315000.0,-118389000.0,461931000.0,293743000.0,343542000.0,1327367000.0,1670909000.0,1670909000.0,2023-12-31,,,,
-15782944.945372,0.315136,649199000.0,-50083000.0,-50083000.0,157151000.0,1177191000.0,599116000.0,599116000.0,-369653000.0,369653000.0,191451055.054628,157151000.0,1585094000.0,49574448.0,49574448.0,3.17,3.17,157151000.0,157151000.0,0.0,157151000.0,157151000.0,157151000.0,72312000.0,229463000.0,601610000.0,-50083000.0,-369653000.0,369653000.0,47589000.0,407903000.0,242747000.0,455492000.0,1177191000.0,1632683000.0,1632683000.0,2023-09-30,,,,
0.0,0.248156,580720000.0,,,121604000.0,1580528000.0,580720000.0,580720000.0,-418979000.0,418979000.0,121604000.0,121604000.0,2044300000.0,49634286.0,49634286.0,2.45,2.45,121604000.0,121604000.0,0.0,121604000.0,121604000.0,121604000.0,40137000.0,161741000.0,617593000.0,,-418979000.0,418979000.0,-72128000.0,463772000.0,290350000.0,391644000.0,1580528000.0,1972172000.0,1972172000.0,2023-06-30,,,,
0.0,0.167493,504240000.0,,,137601000.0,2194255000.0,504240000.0,504240000.0,1432937000.0,338955000.0,137601000.0,137601000.0,2446089000.0,,,,,137601000.0,137601000.0,0.0,137601000.0,137601000.0,137601000.0,27684000.0,165285000.0,-4117414000.0,,1432937000.0,338955000.0,-28148000.0,251834000.0,-684442000.0,223686000.0,2194255000.0,2417941000.0,2417941000.0,2023-03-31,,,,
,,,87757000.0,87757000.0,,,,,,,,,,49573953.0,49573953.0,6.45,6.45,,,,,,,,,,87757000.0,,,,,,,,,,2022-12-31,,,,
-33920700.0,0.3,1099303000.0,-113069000.0,-113069000.0,362495000.0,1357674000.0,986234000.0,934151000.0,-296268000.0,296268000.0,441643300.0,362495000.0,1888369000.0,49588919.0,49588919.0,7.31,7.31,362495000.0,362495000.0,0.0,362495000.0,362495000.0,362495000.0,275388000.0,637883000.0,1192785000.0,-113069000.0,-296268000.0,296268000.0,-145565000.0,530695000.0,319615000.0,385130000.0,1357674000.0,1742804000.0,1742804000.0,2024-06-30 00:00:00,52083000.0,113069000.0,52083000.0,52083000.0
