Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
1927883.339793,0.260877,2882330000.0,7390000.0,7390000.0,1643500000.0,526970000.0,8485050000.0,2889720000.0,2362750000.0,-87300000.0,117940000.0,30640000.0,1638037883.339793,1643500000.0,10976220000.0,,,,,1643500000.0,1643500000.0,0.0,1643500000.0,-15690000.0,1659190000.0,1659190000.0,585620000.0,2244810000.0,61850000.0,-87300000.0,117940000.0,30640000.0,2201780000.0,2491170000.0,1964200000.0,526970000.0,526970000.0,4692950000.0,8485050000.0,13178000000.0,13178000000.0,2024-03-31
3638481.192134,0.259151,2758930000.0,14040000.0,14040000.0,1553310000.0,499590000.0,8083380000.0,2772970000.0,2273380000.0,-139340000.0,157510000.0,18170000.0,1542908481.192134,1553310000.0,10484150000.0,272989455.0,271083770.0,5.69,5.73,1553310000.0,1553310000.0,0.0,1553310000.0,-14230000.0,1567540000.0,1567540000.0,548330000.0,2115870000.0,23410000.0,-139340000.0,157510000.0,18170000.0,2085470000.0,2400770000.0,1901180000.0,499590000.0,499590000.0,4486240000.0,8083380000.0,12569620000.0,12569620000.0,2023-12-31
2152212.510054,0.246813,2485280000.0,8720000.0,8720000.0,1408540000.0,480930000.0,7928650000.0,2494000000.0,2013070000.0,-117330000.0,135700000.0,18370000.0,1401972212.510054,1408540000.0,10073160000.0,272972868.0,270873077.0,5.16,5.2,1408540000.0,1408540000.0,0.0,1408540000.0,-5470000.0,1414010000.0,1414010000.0,463360000.0,1877370000.0,37280000.0,-117330000.0,135700000.0,18370000.0,1918410000.0,2144510000.0,1663580000.0,480930000.0,480930000.0,4062920000.0,7928650000.0,11991570000.0,11991570000.0,2023-09-30
666485.784164,0.238884,2351090000.0,2790000.0,2790000.0,1339980000.0,450440000.0,7206780000.0,2353880000.0,1903440000.0,-111360000.0,137100000.0,25740000.0,1337856485.784164,1339980000.0,9287860000.0,272908350.0,270703030.0,4.91,4.95,1339980000.0,1339980000.0,0.0,1339980000.0,-4410000.0,1344390000.0,1344390000.0,421950000.0,1766340000.0,125230000.0,-111360000.0,137100000.0,25740000.0,1688360000.0,2081080000.0,1630640000.0,450440000.0,450440000.0,3769440000.0,7206780000.0,10976220000.0,10976220000.0,2023-06-30
-7848900.685007,0.180767,1934120000.0,-43420000.0,-43420000.0,1116000000.0,422100000.0,6466640000.0,1890700000.0,1468600000.0,-123820000.0,106570000.0,-17250000.0,1151571099.314993,1116000000.0,8603570000.0,,,,,1116000000.0,1116000000.0,0.0,1116000000.0,180000.0,1115820000.0,1115820000.0,246210000.0,1362030000.0,69840000.0,-123820000.0,106570000.0,-17250000.0,1570100000.0,2136930000.0,-647920000.0,422100000.0,422100000.0,3707030000.0,6466640000.0,10173670000.0,10173670000.0,2023-03-31
,,,,,,,,,,,,,,,,273070652.0,270134409.0,3.68,3.72,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
359149.864292,0.262153,3418050000.0,1370000.0,1370000.0,2041600000.0,525140000.0,8822580000.0,3419420000.0,2894280000.0,-87750000.0,127310000.0,39560000.0,2040589149.864292,2041600000.0,11289840000.0,273306560.0,271128818.0,7.47,7.53,2041600000.0,2041600000.0,0.0,2041600000.0,0.0,2041600000.0,2041600000.0,725370000.0,2766970000.0,421520000.0,-87750000.0,127310000.0,39560000.0,2356460000.0,2467260000.0,1942120000.0,525140000.0,525140000.0,4823720000.0,8822580000.0,13646300000.0,13646300000.0,2024-06-30 00:00:00
