Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
0.0,1610969748.0,1610969748.0,2009979000.0,163715240000.0,216096380000.0,379811620000.0,216096380000.0,216096380000.0,379811620000.0,216096380000.0,216096380000.0,441899000.0,,,16109697000.0,16109697000.0,1562320210000.0,163715240000.0,,,1778416590000.0,292875784000.0,292875784000.0,,,11734263000.0,,,,,,,,161705261000.0,,153926841000.0,2024-03-31,
,1610898768.0,1610898768.0,73887428000.0,162353587000.0,207946949000.0,370300536000.0,207946949000.0,207946949000.0,370300536000.0,207946949000.0,207946949000.0,,,,16108988000.0,16108988000.0,1316431730000.0,162353587000.0,,,1524378679000.0,318390982000.0,318390982000.0,,,9960087000.0,,,,,,,,88466159000.0,,76679502000.0,2023-09-30,
,1610836480.0,1610836480.0,99714954000.0,250185793000.0,195841525000.0,446027318000.0,195841525000.0,195841525000.0,446027318000.0,195841525000.0,195841525000.0,119456000.0,74537813000.0,54187887000.0,16108365000.0,16108365000.0,1361858156000.0,250185793000.0,1195556000.0,1195556000.0,1557699681000.0,323658918000.0,323658918000.0,2181463000.0,0.0,8545906000.0,-6536270000.0,15082176000.0,3456755000.0,9948257000.0,1677164000.0,436230000.0,9672082000.0,150470839000.0,0.0,12223863000.0,2023-03-31,
,1610832119.0,1610832119.0,97360000000.0,184260000000.0,187760000000.0,372020000000.0,187760000000.0,187760000000.0,372020000000.0,187760000000.0,187760000000.0,,,,16110000000.0,16110000000.0,1234920000000.0,184260000000.0,,,1422680000000.0,310860000000.0,310860000000.0,,,7780000000.0,,,,,,,,86900000000.0,,,2022-12-31,
