Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Other Properties,Current Assets,Other Current Assets,Inventory,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Retained Earnings,Additional Paid In Capital,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Other Payable,Dividends Payable,Non Current Prepaid Assets,Held To Maturity Securities,Investmentsin Associatesat Cost,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Restricted Cash,Prepaid Assets,Finished Goods,Raw Materials,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Equivalents,Cash Financial
0.0,182900540.0,182900540.0,,,,,,,,,,,,,,,,138223000000.0,,,,,,,,,,,,,,,,,138223000000.0,13639200000.0,113900000.0,5306300000.0,1159400000.0,1159400000.0,104900000.0,483400000.0,4200000.0,479200000.0,5165700000.0,5165700000.0,5165700000.0,124583800000.0,7666000000.0,105092500000.0,261500000.0,3575400000.0,7988400000.0,6084900000.0,1903500000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,
,182900540.0,182900540.0,7056600000.0,10672700000.0,6626400000.0,17004000000.0,810300000.0,6626400000.0,737700000.0,7069000000.0,10671400000.0,7192500000.0,123500000.0,7069000000.0,5240000000.0,1829000000.0,1829000000.0,132209300000.0,6266700000.0,43000000.0,1520900000.0,3726800000.0,124400000.0,3602400000.0,198200000.0,125942600000.0,95991500000.0,6945900000.0,613300000.0,6332600000.0,31300000.0,11172200000.0,25100000.0,11147100000.0,139401800000.0,12648900000.0,123200000.0,4714000000.0,938600000.0,938600000.0,1100000.0,442600000.0,5000000.0,437600000.0,5148600000.0,5148600000.0,5148600000.0,126752900000.0,8041600000.0,106968900000.0,281800000.0,3646700000.0,7813900000.0,4935500000.0,2878400000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,
,182900540.0,182900540.0,8306000000.0,11068900000.0,8486100000.0,19205500000.0,8245100000.0,8486100000.0,845500000.0,8982100000.0,16604900000.0,9100100000.0,118000000.0,8982100000.0,7153100000.0,1829000000.0,1829000000.0,126502300000.0,11772000000.0,43600000.0,2215000000.0,7776800000.0,154000000.0,7622800000.0,194600000.0,114730300000.0,88691800000.0,3292100000.0,691500000.0,2600600000.0,30000000.0,11945600000.0,8800000.0,11936800000.0,135602400000.0,12627000000.0,131900000.0,4250900000.0,1180800000.0,1180800000.0,,496000000.0,5500000.0,490500000.0,5325300000.0,5325300000.0,5325300000.0,122975400000.0,7433400000.0,104298100000.0,,3849200000.0,7394700000.0,5477300000.0,1917400000.0,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,
