Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
500769770.0,500769770.0,3741410000.0,4920470000.0,7165410000.0,12065020000.0,3027660000.0,7165410000.0,27090000.0,7171640000.0,7454590000.0,7374270000.0,202630000.0,7171640000.0,6670870000.0,,,500770000.0,500770000.0,7020320000.0,331920000.0,,294890000.0,11940000.0,282950000.0,37030000.0,6688400000.0,641240000.0,,4625580000.0,15150000.0,4610430000.0,,9590000.0,1365660000.0,,2080000.0,1363580000.0,14394590000.0,4678530000.0,351030000.0,,117790000.0,748390000.0,748390000.0,6230000.0,6230000.0,3295530000.0,,3295530000.0,355280000.0,2940250000.0,,,,,9716060000.0,1197320000.0,,,,,2402790000.0,,,,4818710000.0,1297240000.0,145270000.0,1151970000.0,,,2024-03-31
500769770.0,500769770.0,2853350000.0,3426000000.0,6690990000.0,10123220000.0,3099220000.0,6690990000.0,,6697220000.0,7043700000.0,6862960000.0,165740000.0,6697220000.0,6196450000.0,,,500770000.0,500770000.0,5887150000.0,389230000.0,,346480000.0,,346480000.0,42750000.0,5497920000.0,1103660000.0,,3079520000.0,,3079520000.0,,3660000.0,1140740000.0,,217060000.0,923680000.0,12750110000.0,4152970000.0,350830000.0,,85540000.0,351890000.0,351890000.0,6230000.0,6230000.0,3231110000.0,,3231110000.0,755180000.0,2475930000.0,,,,,8597140000.0,999370000.0,,6060000.0,,,1724230000.0,,,,5206650000.0,660830000.0,88180000.0,572650000.0,,,2023-09-30
500769770.0,500769770.0,3155220000.0,3406770000.0,4523390000.0,7936390000.0,1751040000.0,4523390000.0,,4529620000.0,4984620000.0,4742930000.0,213310000.0,4529620000.0,,4044530000.0,0.0,475130000.0,475130000.0,4974270000.0,474430000.0,19430000.0,455000000.0,,455000000.0,,4499840000.0,21470000.0,73490000.0,2951770000.0,,2951770000.0,24800000.0,,1039430000.0,103000000.0,73490000.0,862940000.0,9717200000.0,3466320000.0,,469860000.0,127490000.0,,,6230000.0,6230000.0,2723830000.0,-446290000.0,3170120000.0,1357110000.0,,694600000.0,450390000.0,668020000.0,0.0,6250880000.0,,0.0,,1718380000.0,790200000.0,962550000.0,780830000.0,181720000.0,25790000.0,2502410000.0,251550000.0,,251550000.0,250000.0,251300000.0,2022-12-31
