Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
164710523.0,164710523.0,3721660000.0,83693650000.0,90436250000.0,42467890000.0,83693650000.0,523840000.0,87238430000.0,88303830000.0,87238430000.0,0.0,87238430000.0,87073720000.0,,,164710000.0,164710000.0,19374030000.0,5390400000.0,404860000.0,2201230000.0,1412190000.0,346790000.0,1065400000.0,1372120000.0,13983630000.0,1849200000.0,2309470000.0,177050000.0,2132420000.0,,589070000.0,9143290000.0,,516370000.0,8626920000.0,106612460000.0,50160940000.0,976200000.0,,504370000.0,6559130000.0,6559130000.0,3544780000.0,1122190000.0,2422590000.0,38301520000.0,,38301520000.0,2378830000.0,35922690000.0,,,,,56451520000.0,3398590000.0,,,16552370000.0,,,,,,15586900000.0,,,20913660000.0,17342780000.0,3570880000.0,,,2024-03-31
164700823.0,164700823.0,3570300000.0,76970940000.0,86194180000.0,44351140000.0,76970940000.0,443210000.0,83067090000.0,84272980000.0,83067090000.0,0.0,83067090000.0,82902390000.0,,,164700000.0,164700000.0,19861290000.0,4499270000.0,437460000.0,1338460000.0,1474400000.0,268510000.0,1205890000.0,1248950000.0,15362020000.0,2365970000.0,2095900000.0,174700000.0,1921200000.0,,397660000.0,10397420000.0,,614940000.0,9782480000.0,102928380000.0,43215220000.0,977810000.0,,443760000.0,1180000000.0,1180000000.0,6096150000.0,1540200000.0,4555950000.0,34132270000.0,,34132270000.0,3200050000.0,30932220000.0,,,,,59713160000.0,2804900000.0,,,20843480000.0,,,,,243760000.0,13731370000.0,,,22089650000.0,17281450000.0,4808200000.0,,,2023-09-30
164700823.0,164700823.0,44530000.0,79470610000.0,79625430000.0,61716750000.0,79470610000.0,6320000.0,79587220000.0,79619830000.0,79587220000.0,0.0,79587220000.0,16650000.0,60153880000.0,19317670000.0,164700000.0,164700000.0,8188130000.0,896800000.0,,842030000.0,37440000.0,4830000.0,32610000.0,17330000.0,7291330000.0,35780000.0,7090000.0,1490000.0,5600000.0,313180000.0,313180000.0,6174860000.0,291510000.0,9850000.0,5873500000.0,87775350000.0,18767270000.0,1064410000.0,434800000.0,,0.0,,116610000.0,116610000.0,,17990640000.0,-7230860000.0,25221500000.0,2401770000.0,2057510000.0,16788530000.0,3327700000.0,645990000.0,0.0,69008080000.0,2477790000.0,78450000.0,1488610000.0,19453000000.0,3746610000.0,886680000.0,4614650000.0,10205060000.0,1645780000.0,8713940000.0,-586880000.0,9300820000.0,37628300000.0,18539350000.0,19088950000.0,13627000000.0,5461950000.0,2023-03-31
