Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
0.0,399467302.0,399467302.0,6027585000.0,6310968000.0,25326695000.0,31626749000.0,21432362000.0,25326695000.0,13791000.0,25329572000.0,27746734000.0,25303159000.0,-26413000.0,25329572000.0,24930105000.0,,,,399467000.0,399467000.0,16546412000.0,3217588000.0,700579000.0,,2427227000.0,10065000.0,2417162000.0,89782000.0,13328824000.0,2173253000.0,3883741000.0,3726000.0,3880015000.0,268574000.0,6757607000.0,,,,6757607000.0,41849571000.0,7088385000.0,188992000.0,,220728000.0,1852576000.0,1852576000.0,,,271430000.0,2877000.0,2877000.0,4551782000.0,,4551782000.0,224246000.0,4327536000.0,,,,,34761186000.0,11248663000.0,,,,7236465000.0,,,,,54493000.0,180614000.0,8816813000.0,,,7224138000.0,6954546000.0,269592000.0,,2024-03-31
,321869895.0,321869895.0,10615903000.0,10892990000.0,14252556000.0,25133878000.0,10307134000.0,14252556000.0,15655000.0,14256543000.0,16390716000.0,14231245000.0,-25298000.0,14256543000.0,13934673000.0,,,,321870000.0,321870000.0,20751580000.0,3091160000.0,848916000.0,,2146135000.0,11962000.0,2134173000.0,96109000.0,17660420000.0,3272943000.0,8746855000.0,3693000.0,8743162000.0,136667000.0,5084858000.0,,,,5084858000.0,34982825000.0,7015271000.0,232334000.0,,513420000.0,1767697000.0,1767697000.0,,,275921000.0,3987000.0,3987000.0,4221912000.0,,4221912000.0,157828000.0,4064084000.0,,,,,27967554000.0,10804904000.0,,,,7097952000.0,,,,,139904000.0,505837000.0,8032428000.0,,,1386529000.0,1125097000.0,261432000.0,,2023-09-30
,321869895.0,321869895.0,9517291000.0,9840003000.0,13917231000.0,23746818000.0,9953423000.0,13917231000.0,15036000.0,13921851000.0,15557795000.0,13897721000.0,-24130000.0,13921851000.0,13599981000.0,367107000.0,1850330000.0,6297759000.0,321870000.0,321870000.0,19954839000.0,2638126000.0,23856000.0,878503000.0,1647910000.0,11966000.0,1635944000.0,87857000.0,17316713000.0,431254000.0,8192093000.0,3070000.0,8189023000.0,186599000.0,6042610000.0,303429000.0,1464000.0,52266000.0,5685451000.0,33852560000.0,6582424000.0,122172000.0,162296000.0,599356000.0,34492000.0,34492000.0,1029902000.0,1029902000.0,280411000.0,4620000.0,4620000.0,4121529000.0,-2025001000.0,6146530000.0,92845000.0,22464000.0,3971686000.0,1295449000.0,764086000.0,0.0,27270136000.0,190883000.0,9510000.0,1222341000.0,3814885000.0,6762721000.0,413395000.0,646611000.0,2420383000.0,3282332000.0,7111288000.0,577812000.0,7848932000.0,-252074000.0,8101006000.0,309576000.0,1900000.0,307676000.0,307676000.0,2023-03-31
