Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Other Payable
49206600.0,49206600.0,,,561676000.0,561676000.0,326541000.0,561676000.0,561676000.0,561676000.0,561676000.0,561676000.0,315643000.0,,246033000.0,246033000.0,26979000.0,3619000.0,-1000.0,3620000.0,23360000.0,16443000.0,,,,,1556000.0,5361000.0,,3062000.0,2299000.0,588655000.0,238754000.0,,,1554000.0,1554000.0,,138540000.0,,,,,,,,349901000.0,82616000.0,,,180725000.0,,,,,2196000.0,,,84364000.0,81466000.0,2898000.0,,2024-03-31,
49206600.0,49206600.0,1941000.0,2045000.0,562155000.0,564200000.0,294634000.0,562155000.0,562155000.0,562155000.0,562155000.0,562155000.0,316122000.0,,246033000.0,246033000.0,28573000.0,3778000.0,-1000.0,3779000.0,24795000.0,14655000.0,,2045000.0,2045000.0,,1553000.0,6542000.0,,,6542000.0,590728000.0,271299000.0,-1000.0,,,,,145626000.0,,,,,,,,319429000.0,98831000.0,,,206715000.0,,,,,11282000.0,,,2601000.0,2497000.0,104000.0,,2023-09-30,
49206600.0,49206600.0,,0.0,574265000.0,574265000.0,281110000.0,574265000.0,574265000.0,574265000.0,574265000.0,574265000.0,1000.0,148338000.0,246033000.0,246033000.0,20115000.0,5012000.0,,5012000.0,15103000.0,6923000.0,2445000.0,0.0,0.0,50000.0,577000.0,5108000.0,0.0,2445000.0,5108000.0,594380000.0,298167000.0,,1554000.0,1554000.0,1554000.0,0.0,196512000.0,-321533000.0,518045000.0,16264000.0,306038000.0,77850000.0,23909000.0,93984000.0,296213000.0,100492000.0,535000.0,100215000.0,132095000.0,-1000.0,53298000.0,78798000.0,377000.0,3367000.0,0.0,3367000.0,59624000.0,58411000.0,1213000.0,1213000.0,2023-03-31,
