Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Selling General And Administration,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Date,Gain On Sale Of Business,Other Non Interest Expense
0.0,0.165941,0.0,0.0,172578700000.0,347658000000.0,432423700000.0,780081700000.0,172578700000.0,172578700000.0,7619368653.0,7589212841.0,22.65,22.74,172578700000.0,172578700000.0,172578700000.0,-4601300000.0,177180000000.0,0.0,177180000000.0,35251100000.0,212431100000.0,0.0,346118800000.0,346118800000.0,267516800000.0,78602000000.0,717731400000.0,717731400000.0,2023-12-31,,
0.0,0.252669,,,123703800000.0,252133800000.0,259547600000.0,511681400000.0,123703800000.0,123703800000.0,5615242851.0,5584821670.0,22.03,22.15,123703800000.0,123703800000.0,123703800000.0,-328700000.0,124032500000.0,0.0,124032500000.0,41934700000.0,165967200000.0,,59511600000.0,59511600000.0,,59511600000.0,350665300000.0,350665300000.0,2023-06-30,,
0.0,0.251399,,,161420500000.0,233670500000.0,223799100000.0,457469600000.0,161420500000.0,161420500000.0,,,,,161420500000.0,161420500000.0,161420500000.0,303000000.0,161117500000.0,,161117500000.0,54107300000.0,215224800000.0,,255058400000.0,255058400000.0,,54565400000.0,282041500000.0,282041500000.0,2023-03-31,,
0.0,0.248026,0.0,0.0,126983200000.0,244972500000.0,205048600000.0,450021100000.0,126983200000.0,126983200000.0,5598906526.0,5574328358.0,22.68,22.78,126983200000.0,126983200000.0,126983200000.0,-371100000.0,127354300000.0,0.0,127354300000.0,42005700000.0,169360000000.0,0.0,52775300000.0,52775300000.0,0.0,52775300000.0,336179800000.0,336179800000.0,2022-12-31,,
,,,,,,,,,,7622136678.0,7595853448.0,23.12,23.2,,,,,,,,,,,,,,,,,2024-03-31 00:00:00,,
0.0,0.174318,0.0,0.0,168114100000.0,337891900000.0,412499100000.0,750391000000.0,168114100000.0,168114100000.0,7600094937.0,7559087230.0,22.12,22.24,168114100000.0,168114100000.0,168114100000.0,-5009700000.0,173123800000.0,0.0,173123800000.0,36550000000.0,209673800000.0,0.0,315029800000.0,315029800000.0,237139300000.0,77890500000.0,663167100000.0,663167100000.0,2023-09-30 00:00:00,,
0.0,0.243729,0.0,0.0,164748500000.0,369667000000.0,445795000000.0,815462000000.0,164748500000.0,164748500000.0,7630778138.0,7602607291.0,21.59,21.67,164748500000.0,164748500000.0,164748500000.0,-7132000000.0,171880500000.0,0.0,171880500000.0,55393200000.0,227273700000.0,0.0,350416200000.0,350416200000.0,267525500000.0,82890700000.0,724169900000.0,724169900000.0,2024-06-30 00:00:00,,
