Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
60282608.0,60282608.0,7774683000.0,10363894000.0,7544632000.0,16674570000.0,4388720000.0,7544632000.0,2046162000.0,8356838000.0,12527264000.0,8356838000.0,0.0,8356838000.0,7754012000.0,,,602826000.0,602826000.0,16002505000.0,7052455000.0,-1000.0,824522000.0,6216588000.0,2046162000.0,4170426000.0,6346000.0,8950050000.0,178363000.0,4147306000.0,4147306000.0,684000.0,4355799000.0,,188844000.0,4166955000.0,24359343000.0,11020573000.0,1800000.0,,0.0,211276000.0,211276000.0,812206000.0,812206000.0,9995291000.0,,9995291000.0,1013916000.0,8981375000.0,,,,,13338770000.0,4023049000.0,,,3338627000.0,,,,3107000.0,,4271317000.0,1702670000.0,1159621000.0,543049000.0,,2024-03-31
54201000.0,54201000.0,6511660000.0,8378239000.0,3246799000.0,9841678000.0,1448101000.0,3246799000.0,1786080000.0,3249519000.0,7615222000.0,3249519000.0,0.0,3249519000.0,2888179000.0,,,361340000.0,361340000.0,10720822000.0,6914036000.0,-1000.0,753506000.0,6151783000.0,1786080000.0,4365703000.0,3748000.0,3806786000.0,137278000.0,2226456000.0,2226456000.0,414000.0,1264196000.0,,45170000.0,1219026000.0,13970341000.0,8715454000.0,1800000.0,,0.0,91995000.0,91995000.0,2720000.0,2720000.0,8618939000.0,,8618939000.0,33356000.0,8585583000.0,,,,,5254887000.0,1058031000.0,,,1221288000.0,,,,69004000.0,,2029510000.0,877054000.0,796555000.0,80499000.0,,2023-09-30
54201000.0,54201000.0,5089418000.0,6755051000.0,2576481000.0,7790757000.0,745106000.0,2576481000.0,1543453000.0,2579159000.0,6670367000.0,2579159000.0,0.0,2579159000.0,2217819000.0,1884549000.0,333270000.0,361340000.0,361340000.0,9970590000.0,6270245000.0,,626836000.0,5634661000.0,1543453000.0,4091208000.0,3748000.0,3700345000.0,1000.0,1120390000.0,1120390000.0,414000.0,2392099000.0,73242000.0,45038000.0,2273819000.0,12549749000.0,8104298000.0,-3000.0,34267000.0,0.0,59150000.0,59150000.0,2678000.0,2678000.0,8006406000.0,-711571000.0,8717977000.0,2838000.0,20047000.0,6512922000.0,80097000.0,2102073000.0,0.0,4445451000.0,1000.0,8171000.0,440827000.0,1649756000.0,1000.0,96575000.0,1553180000.0,1854000.0,342325000.0,1467298000.0,535219000.0,413039000.0,122180000.0,122180000.0,2023-03-31
