Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
183752000.0,183752000.0,70058000.0,70573000.0,354178000.0,424751000.0,371531000.0,354178000.0,354178000.0,416224000.0,354178000.0,354178000.0,,,183752000.0,183752000.0,297326000.0,64785000.0,57000.0,2682000.0,62046000.0,62046000.0,232541000.0,478000.0,8527000.0,8527000.0,636000.0,222900000.0,,1204000.0,221696000.0,651504000.0,47372000.0,0.0,750000.0,,0.0,46622000.0,,46622000.0,0.0,46622000.0,,604072000.0,121609000.0,,53662000.0,,145256000.0,0.0,249300000.0,34245000.0,33730000.0,515000.0,,2023-09-30
132887344.0,132887344.0,50993000.0,51923000.0,234824000.0,286747000.0,251749000.0,234824000.0,234824000.0,286580000.0,234824000.0,234824000.0,14523000.0,94011000.0,126290000.0,126290000.0,460023000.0,54164000.0,-1000.0,2409000.0,51756000.0,51756000.0,405859000.0,111539000.0,167000.0,167000.0,106000.0,312051000.0,17472000.0,532000.0,294047000.0,694847000.0,37240000.0,,750000.0,750000.0,,36490000.0,-5778000.0,42268000.0,,750000.0,41518000.0,657608000.0,33044000.0,33045000.0,13425000.0,13425000.0,413076000.0,1578000.0,182207000.0,14277000.0,13347000.0,930000.0,930000.0,2023-03-31
183752000.0,183752000.0,114946000.0,115170000.0,187905000.0,303075000.0,219964000.0,187905000.0,187905000.0,287823000.0,187905000.0,187905000.0,,,183752000.0,183752000.0,300812000.0,102601000.0,1000.0,2682000.0,99918000.0,99918000.0,198211000.0,7003000.0,15252000.0,15252000.0,,175956000.0,,,175956000.0,488717000.0,70542000.0,,59100000.0,,,11442000.0,,,,,,418175000.0,158818000.0,,2146000.0,,82758000.0,3015000.0,157127000.0,14311000.0,14087000.0,224000.0,,2024-03-31 00:00:00
