Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Investmentsin Subsidiariesat Cost
330884740.0,330884740.0,7436300000.0,57426000000.0,65338100000.0,19682600000.0,57426000000.0,303200000.0,58205000000.0,60485000000.0,58542100000.0,337100000.0,58205000000.0,57874200000.0,,,330800000.0,330800000.0,61815100000.0,4251300000.0,34900000.0,70600000.0,588800000.0,2489900000.0,209900000.0,2280000000.0,984300000.0,57563800000.0,2629600000.0,4946400000.0,93300000.0,4853100000.0,,2110700000.0,39113900000.0,,,556700000.0,38557200000.0,120357200000.0,43110800000.0,960200000.0,,412900000.0,30052900000.0,,30052900000.0,,2389000000.0,,,449300000.0,779000000.0,55900000.0,723100000.0,7924300000.0,,7924300000.0,3675100000.0,4249200000.0,,,,,77246400000.0,3150800000.0,,,21353800000.0,,,,7447900000.0,25327600000.0,,,19966300000.0,11813300000.0,8153000000.0,,,2024-03-31,
330884740.0,330884740.0,5552700000.0,56365300000.0,62369500000.0,18723600000.0,56365300000.0,327700000.0,57144500000.0,57144500000.0,57555800000.0,411300000.0,57144500000.0,56813700000.0,,,330800000.0,330800000.0,42543200000.0,1797900000.0,38300000.0,71700000.0,419700000.0,237200000.0,237200000.0,0.0,931900000.0,40745300000.0,798800000.0,5315500000.0,90500000.0,5225000000.0,,1752900000.0,26214800000.0,,,993100000.0,25221700000.0,100099000000.0,40630100000.0,1028800000.0,,375400000.0,30178200000.0,,30178200000.0,,2050500000.0,,,468300000.0,779200000.0,56100000.0,723100000.0,5525700000.0,,5525700000.0,1503800000.0,4021900000.0,,,,,59468900000.0,3052600000.0,,,16001800000.0,,,,11100900000.0,15125600000.0,,,14188000000.0,7519500000.0,6668500000.0,,,2023-09-30,
330884740.0,330884740.0,6505800000.0,53735700000.0,60680400000.0,18269500000.0,53735700000.0,346100000.0,54520700000.0,54732200000.0,54937200000.0,416500000.0,54520700000.0,54189900000.0,31502500000.0,60300000.0,330800000.0,330800000.0,47852900000.0,1657500000.0,41700000.0,105000000.0,52800000.0,465400000.0,253900000.0,211500000.0,919700000.0,46195400000.0,1699900000.0,6040400000.0,92200000.0,5948200000.0,53200000.0,1660000000.0,31057700000.0,379400000.0,75500000.0,476500000.0,30126300000.0,102790100000.0,38325200000.0,11500000.0,1011300000.0,355600000.0,27866200000.0,924600000.0,11961500000.0,14980100000.0,2705200000.0,2611400000.0,93800000.0,0.0,785000000.0,61900000.0,723100000.0,5444200000.0,-3187200000.0,8631400000.0,982500000.0,3967600000.0,3791200000.0,3037700000.0,820000000.0,0.0,64464900000.0,177800000.0,156600000.0,5008900000.0,15919700000.0,8116000000.0,85600000.0,7718100000.0,10316900000.0,21918500000.0,-5613400000.0,27531900000.0,10966500000.0,4039300000.0,6927200000.0,2390100000.0,4537100000.0,2023-03-31,
