Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
87931604.0,87931604.0,2670399000.0,2676707000.0,-2841185000.0,-164343000.0,-1612365000.0,-2841185000.0,-2841050000.0,-165051000.0,-2841050000.0,-2841050000.0,-3720366000.0,,,879316000.0,879316000.0,5037797000.0,2687531000.0,4000.0,9017000.0,0.0,2675999000.0,2675999000.0,2511000.0,2350266000.0,1225630000.0,708000.0,708000.0,,6707000.0,1115617000.0,,1115617000.0,2196747000.0,1458846000.0,2309000.0,,2890000.0,2890000.0,135000.0,,1453512000.0,,,,,,,,737901000.0,386428000.0,,254067000.0,,,,,,31751000.0,58003000.0,,,7652000.0,1344000.0,6308000.0,,,2023-09-30
87931604.0,87931604.0,2675720000.0,2676950000.0,-2782748000.0,-105663000.0,-1588246000.0,-2782748000.0,-2782613000.0,-106354000.0,-2782613000.0,-2782613000.0,,-4202047000.0,524667000.0,879316000.0,879316000.0,4833339000.0,2687787000.0,,9017000.0,0.0,2676259000.0,2676259000.0,2511000.0,2145552000.0,732335000.0,691000.0,691000.0,29540000.0,6592000.0,1267712000.0,52669000.0,1215043000.0,2050726000.0,1493420000.0,,6761000.0,0.0,,135000.0,135000.0,1486524000.0,-480086000.0,1966611000.0,1780000.0,1551936000.0,394433000.0,18462000.0,0.0,557306000.0,-1000.0,500000.0,296447000.0,150000.0,130041000.0,12248000.0,154008000.0,133269000.0,60907000.0,63610000.0,-9739000.0,73349000.0,2574000.0,1344000.0,1230000.0,0.0,1230000.0,2023-03-31
