Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Accrued Expenses,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
43693333.0,43693333.0,4955000000.0,5090200000.0,5616100000.0,11079900000.0,538400000.0,5616100000.0,23000000.0,6012700000.0,8983400000.0,6176000000.0,163300000.0,6012700000.0,5794200000.0,,,218500000.0,218500000.0,8727800000.0,3637800000.0,,,517900000.0,2991200000.0,20500000.0,2970700000.0,87100000.0,5090000000.0,326100000.0,2099000000.0,2500000.0,2096500000.0,,66000000.0,2236800000.0,,,2236800000.0,14903800000.0,9275400000.0,141400000.0,,166400000.0,166400000.0,,396600000.0,44100000.0,352500000.0,8570600000.0,,8570600000.0,456100000.0,8114500000.0,,,,,5628400000.0,505400000.0,69600000.0,,,2850100000.0,,,,2300000.0,136300000.0,1855600000.0,,,209100000.0,96900000.0,112200000.0,,2024-03-31
43693333.0,43693333.0,4712400000.0,4809200000.0,5752700000.0,10934000000.0,671800000.0,5752700000.0,24800000.0,6149600000.0,9110300000.0,6406000000.0,256400000.0,6149600000.0,5931100000.0,,,218500000.0,218500000.0,8349100000.0,3408600000.0,,,326500000.0,2983000000.0,22300000.0,2960700000.0,62900000.0,4940500000.0,204800000.0,1826200000.0,2500000.0,1823700000.0,,97400000.0,2304200000.0,,,2304200000.0,14755100000.0,9142800000.0,108300000.0,,157900000.0,157900000.0,,396900000.0,45400000.0,351500000.0,8479200000.0,,8479200000.0,163500000.0,8315700000.0,,,,,5612300000.0,532400000.0,36200000.0,,,2797600000.0,,,,2400000.0,112700000.0,1991700000.0,,,139300000.0,67300000.0,72000000.0,,2023-09-30
43693333.0,43693333.0,4887460000.0,5099910000.0,5659430000.0,11130250000.0,633870000.0,5659430000.0,23870000.0,6054210000.0,9253950000.0,6071140000.0,16930000.0,6054210000.0,5835700000.0,4833000000.0,826410000.0,218490000.0,218490000.0,8743210000.0,3655050000.0,0.0,37980000.0,334870000.0,3221060000.0,21320000.0,3199740000.0,61140000.0,5088160000.0,191370000.0,1878850000.0,2550000.0,1876300000.0,93580000.0,,2454380000.0,144070000.0,4110000.0,2306200000.0,14814350000.0,9092320000.0,34800000.0,68340000.0,102500000.0,17970000.0,84530000.0,394780000.0,43830000.0,350950000.0,8526030000.0,-3999250000.0,12525280000.0,98610000.0,8427400000.0,7718830000.0,2738050000.0,1969790000.0,0.0,5722030000.0,520400000.0,36160000.0,4110000.0,537820000.0,2776840000.0,499600000.0,522350000.0,1754890000.0,16230000.0,119500000.0,1957020000.0,-2700000.0,1959720000.0,274350000.0,85770000.0,188580000.0,188580000.0,2023-03-31
