Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Pension And Other Postretirement Benefit Plans,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost
0.0,3195339547.0,3195339547.0,461554700000.0,536894500000.0,291385400000.0,818351000000.0,-127861500000.0,291385400000.0,42096400000.0,323552900000.0,697475400000.0,383327700000.0,59774800000.0,323552900000.0,320357300000.0,,,3195600000.0,3195600000.0,1012207200000.0,599691900000.0,126895000000.0,,,27723300000.0,411347300000.0,37424800000.0,373922500000.0,18650800000.0,412515300000.0,38798400000.0,125547200000.0,4671600000.0,120875600000.0,2943400000.0,96129100000.0,,,2915400000.0,93213700000.0,1395534900000.0,1110881100000.0,134722300000.0,,4990900000.0,39390900000.0,39390900000.0,,129835100000.0,32167500000.0,14592900000.0,17574600000.0,755541200000.0,,755541200000.0,115613100000.0,639928100000.0,,,,,284653800000.0,17043000000.0,,12009900000.0,,,,44196300000.0,,,,,25633700000.0,82000000.0,74016900000.0,,,111012800000.0,77769400000.0,33243400000.0,,,2024-03-31,,,
,3195339547.0,3195339547.0,448735300000.0,525255100000.0,269807800000.0,784944000000.0,-114318600000.0,269807800000.0,41674200000.0,301363100000.0,632655500000.0,358140300000.0,56777200000.0,301363100000.0,298167500000.0,,,3195600000.0,3195600000.0,962923200000.0,539894400000.0,119627000000.0,,,22038800000.0,368658100000.0,37365700000.0,331292400000.0,15315400000.0,423028800000.0,39322900000.0,156597000000.0,4308500000.0,152288500000.0,2996600000.0,105653200000.0,,,2777700000.0,102875500000.0,1321063500000.0,1012353300000.0,118880700000.0,8191800000.0,3574400000.0,33702500000.0,33702500000.0,,140744500000.0,31555300000.0,12972200000.0,18583100000.0,667324000000.0,,667324000000.0,71992400000.0,595331600000.0,,,,,308710200000.0,13567300000.0,,33295200000.0,,,0.0,36599100000.0,,,,,36782000000.0,0.0,73807000000.0,,,114065300000.0,79219700000.0,34845600000.0,,,2023-09-30,,,
,3196991847.0,3196991847.0,447847600000.0,529230900000.0,255477800000.0,777619500000.0,-130013600000.0,255477800000.0,39485700000.0,287874300000.0,594959200000.0,342041200000.0,54166900000.0,287874300000.0,284678700000.0,207701200000.0,40552400000.0,3195600000.0,3195600000.0,941447700000.0,500519900000.0,12759800000.0,5619200000.0,106555100000.0,19193700000.0,342191900000.0,35107000000.0,307084900000.0,14200200000.0,440927800000.0,46185300000.0,187039000000.0,4378700000.0,182660300000.0,3110700000.0,132228100000.0,55739500000.0,237000000.0,2179600000.0,74072000000.0,1283488900000.0,972574700000.0,84334300000.0,20311000000.0,2529000000.0,13012100000.0,12996600000.0,15500000.0,142188800000.0,32396500000.0,13813400000.0,18583100000.0,638833700000.0,-273333100000.0,912166800000.0,53763600000.0,214580000000.0,572777300000.0,38306200000.0,32739700000.0,0.0,310914200000.0,13287200000.0,1150700000.0,32999400000.0,11100000.0,70167700000.0,17352800000.0,39428800000.0,15700000.0,5918700000.0,69900000.0,33424500000.0,26334000000.0,9600000.0,69521500000.0,-10158500000.0,79680000000.0,53393600000.0,11496000000.0,41897600000.0,19861500000.0,22036100000.0,2023-03-31,,,
