Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
,6777786447.0,6777786447.0,23878500000.0,97708600000.0,155334300000.0,253042900000.0,155334300000.0,155334300000.0,253042900000.0,155334300000.0,155334300000.0,,,,67777900000.0,67777900000.0,1321231000000.0,97708600000.0,,,,1476565300000.0,495991600000.0,495991600000.0,,,,17557800000.0,,,,,,,73830100000.0,,73124600000.0,2024-03-31,
0.0,6777786447.0,6777786447.0,21243200000.0,88105300000.0,152372500000.0,240477800000.0,152372500000.0,152372500000.0,240477800000.0,152372500000.0,152372500000.0,,,,67777900000.0,67777900000.0,1300241600000.0,88105300000.0,,,,1452614100000.0,498812800000.0,498812800000.0,,,,15640700000.0,,,,,,,66862100000.0,,62148100000.0,2023-12-31,
,6777786447.0,6777786447.0,12287100000.0,79558900000.0,151229400000.0,230788300000.0,151229400000.0,151229400000.0,230788300000.0,151229400000.0,151229400000.0,,,,67777900000.0,67777900000.0,1270312000000.0,79558900000.0,,,,1421541400000.0,487876700000.0,487876700000.0,,,,14874100000.0,,,,,,,67271800000.0,,64733800000.0,2023-09-30,
,6777786447.0,6777786447.0,19886300000.0,89851100000.0,152611800000.0,242462900000.0,152611800000.0,152611800000.0,242462900000.0,152611800000.0,152611800000.0,,,,67777900000.0,67777900000.0,1256716800000.0,89851100000.0,,,,1409328600000.0,484045900000.0,484045900000.0,,,,14984400000.0,,,,,,,69964800000.0,,66984000000.0,2023-06-30,
,6777786447.0,6777786447.0,11667621000.0,90183832000.0,151085069000.0,241268901000.0,151085069000.0,151085069000.0,241268901000.0,151085069000.0,151085069000.0,9122246000.0,13563689000.0,31319785000.0,67777864000.0,67777864000.0,1213460101000.0,90183832000.0,11417577000.0,3303704000.0,8113873000.0,1364545170000.0,387509493000.0,387509493000.0,3709115000.0,372557000.0,0.0,15194228000.0,-7601095000.0,22795323000.0,9305979000.0,13489344000.0,5415089000.0,16528163000.0,78516211000.0,0.0,3235185000.0,2023-03-31,
,6777786447.0,6777786447.0,31644300000.0,103820000000.0,113917000000.0,217737000000.0,113917000000.0,113917000000.0,217737000000.0,113917000000.0,113917000000.0,,,,67777900000.0,67777900000.0,1334946600000.0,103820000000.0,,,,1448863600000.0,446726900000.0,446726900000.0,,,,17274100000.0,,,,,,,72175700000.0,,68459800000.0,2024-06-30 00:00:00,
