Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
17147670.0,17147670.0,491827000.0,501847000.0,629090000.0,1130937000.0,285879000.0,629090000.0,629090000.0,694278000.0,629090000.0,629090000.0,457613000.0,,,171477000.0,171477000.0,570815000.0,69595000.0,1000.0,,0.0,65188000.0,65188000.0,4406000.0,501220000.0,26831000.0,436659000.0,436659000.0,1133000.0,36597000.0,,,36597000.0,1199905000.0,412806000.0,,4347000.0,24225000.0,24225000.0,384234000.0,,384234000.0,36205000.0,348029000.0,,,,,787099000.0,211801000.0,,526931000.0,,,,,,38347000.0,10020000.0,10020000.0,,2024-03-31
17147670.0,17147670.0,365839000.0,372215000.0,424301000.0,796516000.0,264602000.0,424301000.0,424301000.0,543757000.0,424301000.0,424301000.0,252824000.0,,,171477000.0,171477000.0,446871000.0,124807000.0,2000.0,5349000.0,,119456000.0,119456000.0,,322064000.0,18144000.0,252759000.0,252759000.0,,51161000.0,,0.0,51161000.0,871172000.0,284506000.0,,3678000.0,23164000.0,23164000.0,257664000.0,,257664000.0,35641000.0,222023000.0,,,,,586666000.0,155245000.0,,398321000.0,,,,,,26724000.0,6376000.0,6376000.0,,2023-09-30
17147670.0,17147670.0,419230000.0,422750000.0,115948000.0,538698000.0,278259000.0,115948000.0,115948000.0,205077000.0,115948000.0,115948000.0,,-111059000.0,55530000.0,171477000.0,171477000.0,867508000.0,455933000.0,361541000.0,5263000.0,0.0,89129000.0,89129000.0,,411575000.0,,333621000.0,333621000.0,,73660000.0,19672000.0,0.0,53988000.0,983456000.0,293622000.0,1000.0,3678000.0,21034000.0,21034000.0,268909000.0,-640639000.0,909548000.0,31258000.0,74501000.0,639362000.0,161084000.0,3343000.0,0.0,689834000.0,4532000.0,105046000.0,470195000.0,-1000.0,44350000.0,30897000.0,394949000.0,45058000.0,61483000.0,3520000.0,3520000.0,3520000.0,2023-03-31
