Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Minority Interests
0.0,0.178145,229304000.0,,,171907000.0,19010000.0,870137000.0,229304000.0,210294000.0,-864000.0,864000.0,171907000.0,171907000.0,1088599000.0,,,,,171907000.0,171907000.0,0.0,171907000.0,172121000.0,172121000.0,37309000.0,209430000.0,208989000.0,-864000.0,864000.0,1305000.0,218462000.0,199452000.0,19010000.0,19010000.0,219767000.0,870137000.0,1089904000.0,1089904000.0,2024-03-31,
0.0,0.156273,229208000.0,,,177488000.0,18092000.0,754335000.0,229208000.0,211116000.0,-754000.0,754000.0,177488000.0,177488000.0,934481000.0,15195890.0,15054114.0,11.68,11.79,177488000.0,177488000.0,0.0,177488000.0,177488000.0,177488000.0,32874000.0,210362000.0,181236000.0,-754000.0,754000.0,29880000.0,180146000.0,162054000.0,18092000.0,18092000.0,210026000.0,754335000.0,964361000.0,964361000.0,2023-12-31,
15549912.001254,0.212806,175983000.0,73071000.0,73071000.0,180780000.0,18574000.0,737597000.0,249054000.0,230480000.0,-829000.0,829000.0,123258912.001254,180780000.0,897978000.0,15268581.0,15052456.0,11.84,12.01,180780000.0,180780000.0,0.0,180780000.0,180780000.0,180780000.0,48871000.0,229651000.0,30263000.0,-829000.0,829000.0,127146000.0,160381000.0,141807000.0,18574000.0,18574000.0,287527000.0,737597000.0,1025124000.0,1025124000.0,2023-09-30,
20037888.64476,0.109373,124832000.0,183207000.0,183207000.0,256994000.0,18647000.0,748065000.0,308039000.0,289392000.0,-838000.0,838000.0,93824888.64476,256994000.0,910546000.0,15279073.0,15046487.0,16.82,17.08,256994000.0,256994000.0,0.0,256994000.0,256994000.0,256994000.0,31560000.0,288554000.0,31846000.0,-838000.0,838000.0,74339000.0,162481000.0,143834000.0,18647000.0,18647000.0,236820000.0,748065000.0,984885000.0,984885000.0,2023-06-30,
0.0,0.175464,225653000.0,,,170651000.0,17923000.0,438864000.0,225653000.0,207730000.0,52228000.0,764000.0,170651000.0,170651000.0,904895000.0,,,,,170651000.0,170651000.0,0.0,170651000.0,170651000.0,170651000.0,36315000.0,206966000.0,-209362000.0,52228000.0,764000.0,124015000.0,466031000.0,-150270000.0,17923000.0,17923000.0,590046000.0,438864000.0,1028910000.0,1028910000.0,2023-03-31,
,,,,,,,,,,,,,,,15194361.0,15033574.0,20.57,20.79,,,,,,,,,,,,,,,,,,,,,2022-12-31,
0.0,0.072573,226423000.0,,,181460000.0,30074000.0,948604000.0,226423000.0,196349000.0,-5659000.0,5659000.0,181460000.0,181460000.0,1211680000.0,15235936.0,15083957.0,11.91,12.03,181460000.0,181460000.0,0.0,181460000.0,176851000.0,176851000.0,13839000.0,190690000.0,174452000.0,-5659000.0,5659000.0,21897000.0,263076000.0,233002000.0,30074000.0,30074000.0,284973000.0,948604000.0,1233577000.0,1233577000.0,2024-06-30 00:00:00,4609000.0
