Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.026554,1662000000.0,0.0,0.0,1503000000.0,57000000.0,3550000000.0,1662000000.0,1605000000.0,-61000000.0,61000000.0,1503000000.0,1503000000.0,6216000000.0,,,,,1503000000.0,1503000000.0,0.0,1503000000.0,1503000000.0,1503000000.0,41000000.0,1544000000.0,40000000.0,0.0,-212000000.0,212000000.0,-61000000.0,61000000.0,1564000000.0,2666000000.0,1176000000.0,57000000.0,57000000.0,943000000.0,943000000.0,4230000000.0,3550000000.0,7780000000.0,7780000000.0,2024-03-31
0.0,0.3,161000000.0,0.0,0.0,3000000.0,61000000.0,2092000000.0,161000000.0,100000000.0,-63000000.0,63000000.0,3000000.0,3000000.0,3933000000.0,60000000.0,60000000.0,0.05,0.05,3000000.0,3000000.0,0.0,3000000.0,3000000.0,3000000.0,34000000.0,37000000.0,34000000.0,0.0,,0.0,-63000000.0,63000000.0,68000000.0,1841000000.0,875000000.0,61000000.0,61000000.0,494000000.0,494000000.0,1909000000.0,2092000000.0,4001000000.0,4001000000.0,2023-12-31
0.0,0.313953,209000000.0,0.0,0.0,59000000.0,58000000.0,2412000000.0,209000000.0,151000000.0,-65000000.0,65000000.0,59000000.0,59000000.0,4271000000.0,63440860.0,63440860.0,0.93,0.93,59000000.0,59000000.0,0.0,59000000.0,59000000.0,59000000.0,27000000.0,86000000.0,41000000.0,0.0,,0.0,-65000000.0,65000000.0,108000000.0,1859000000.0,831000000.0,58000000.0,58000000.0,507000000.0,507000000.0,1967000000.0,2412000000.0,4379000000.0,4379000000.0,2023-09-30
-42600000.0,0.3,1189000000.0,-142000000.0,-142000000.0,1104000000.0,62000000.0,3330000000.0,1047000000.0,985000000.0,-51000000.0,51000000.0,1203400000.0,1104000000.0,5889000000.0,63631124.0,63631124.0,17.35,17.35,1104000000.0,1104000000.0,0.0,1104000000.0,1104000000.0,1104000000.0,-170000000.0,934000000.0,24000000.0,-142000000.0,142000000.0,,-51000000.0,51000000.0,1103000000.0,2559000000.0,1009000000.0,62000000.0,62000000.0,1044000000.0,1044000000.0,3662000000.0,3330000000.0,6992000000.0,6992000000.0,2023-06-30
-17190000.0,0.3,1435800000.0,-57300000.0,-57300000.0,1453300000.0,66700000.0,3576400000.0,1378500000.0,1311800000.0,-19400000.0,48500000.0,1493410000.0,1453300000.0,5716200000.0,,,,,1453300000.0,1453300000.0,0.0,1453300000.0,1453300000.0,1453300000.0,-190000000.0,1263300000.0,-40500000.0,-72800000.0,,,-19400000.0,48500000.0,1382800000.0,2139800000.0,-1268600000.0,66700000.0,66700000.0,2524500000.0,2343200000.0,3522600000.0,3576400000.0,7099000000.0,7099000000.0,2023-03-31
,,,,,,,,,,,,,,,63843648.0,63843648.0,3.07,3.07,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2022-12-31
0.0,0.025726,1603000000.0,0.0,0.0,1477000000.0,51000000.0,3733000000.0,1603000000.0,1552000000.0,-36000000.0,36000000.0,1477000000.0,1477000000.0,6890000000.0,63636364.0,63636364.0,23.21,23.21,1477000000.0,1477000000.0,0.0,1477000000.0,1477000000.0,1477000000.0,39000000.0,1516000000.0,50000000.0,0.0,,,-36000000.0,36000000.0,1501000000.0,3157000000.0,1288000000.0,51000000.0,51000000.0,1243000000.0,1243000000.0,4658000000.0,3733000000.0,8391000000.0,8391000000.0,2024-06-30 00:00:00
