Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Finished Goods
10655000.0,10655000.0,0.0,1180720000.0,1182704000.0,619835000.0,1180720000.0,1182704000.0,1182704000.0,1182704000.0,1182704000.0,1076154000.0,,,106550000.0,106550000.0,65760000.0,6753000.0,-1000.0,,0.0,59007000.0,51658000.0,,0.0,0.0,6524000.0,825000.0,,0.0,825000.0,1248464000.0,569622000.0,73016000.0,,1390000.0,486059000.0,486059000.0,,1984000.0,1984000.0,7173000.0,,,,,,678842000.0,4299000.0,4990000.0,,569945000.0,,3542000.0,48048000.0,48018000.0,48018000.0,,2024-03-31,
10655000.0,10655000.0,0.0,929413000.0,932061000.0,456224000.0,929413000.0,932061000.0,932061000.0,932061000.0,932061000.0,825511000.0,,,106550000.0,106550000.0,46305000.0,6780000.0,-1000.0,,0.0,39525000.0,33809000.0,,0.0,0.0,3815000.0,1901000.0,,1634000.0,267000.0,978366000.0,482617000.0,87216000.0,,1329000.0,384500000.0,384500000.0,,2648000.0,2648000.0,6924000.0,,,,,,495749000.0,2104000.0,,,436713000.0,,0.0,28780000.0,28152000.0,28152000.0,,2023-09-30,
10655000.0,10655000.0,356790.0,763221970.0,766891320.0,281772490.0,763221970.0,766534530.0,766534530.0,766534530.0,766534530.0,,582021620.0,66149170.0,106550000.0,106550000.0,36321450.0,6852600.0,,6852600.0,0.0,29468850.0,3038270.0,0.0,356790.0,356790.0,4065000.0,12502180.0,646640.0,11462560.0,392980.0,802855980.0,491614640.0,-10.0,84499520.0,1328650.0,395892200.0,10037750.0,385854450.0,3312560.0,3312560.0,6569840.0,-22935950.0,29505790.0,25509840.0,3995950.0,0.0,311241340.0,10.0,,2743030.0,237713960.0,51820.0,11444970.0,33584690.0,25702860.0,25702860.0,25702860.0,2023-03-31,
