Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
540279513.179323,0.234551,2303462000.0,2303462000.0,1251490000.0,172252000.0,1459500000.0,184235000.0,1643735000.0,-511692486.820677,1251490000.0,,,,,1251490000.0,1251490000.0,1251490000.0,-558084000.0,1809574000.0,1809574000.0,554498000.0,2364082000.0,2303462000.0,2432000.0,12861864000.0,9773785000.0,172252000.0,172252000.0,14587670000.0,14587670000.0,2024-03-31
0.0,0.175569,0.0,0.0,194983000.0,175029000.0,1563823000.0,242332000.0,1806155000.0,194983000.0,194983000.0,336177586.0,319644262.0,0.58,0.61,194983000.0,194983000.0,194983000.0,-140774000.0,335757000.0,335757000.0,71502000.0,407259000.0,0.0,-160000.0,12047321000.0,9255981000.0,175029000.0,175029000.0,12454923000.0,12454923000.0,2023-12-31
0.0,0.315666,0.0,0.0,253050000.0,183009000.0,1195995000.0,253047000.0,1449042000.0,253050000.0,253050000.0,332960526.0,324423077.0,0.76,0.78,253050000.0,253050000.0,253050000.0,-150486000.0,403536000.0,403536000.0,186141000.0,589677000.0,0.0,-4778000.0,12525730000.0,9700440000.0,183009000.0,183009000.0,12891547000.0,12891547000.0,2023-09-30
0.0,0.17081,,,629580000.0,186750000.0,1081844000.0,255755000.0,1337599000.0,629580000.0,629580000.0,331357895.0,322861538.0,1.9,1.95,629580000.0,629580000.0,629580000.0,-295670000.0,925250000.0,925250000.0,190598000.0,1115848000.0,,10343000.0,9539810000.0,7054339000.0,186750000.0,186750000.0,10512500000.0,10512500000.0,2023-06-30
0.0,0.011225,,,34818229000.0,143318000.0,1054893000.0,288947000.0,1343840000.0,34818229000.0,34818229000.0,,,,,34818229000.0,34818229000.0,34818229000.0,-352661000.0,35170890000.0,35170890000.0,399258000.0,35570148000.0,,-1156000.0,11363179000.0,8782961000.0,143318000.0,143318000.0,13106028000.0,13106028000.0,2023-03-31
,,0.0,0.0,,,,,,,,321431319.0,321431319.0,-3.68,-3.64,,,,,,,,,0.0,,,,,,,,2022-12-31
0.0,0.178992,0.0,0.0,180020000.0,158889000.0,1512248000.0,133166000.0,1645414000.0,180020000.0,180020000.0,333370370.0,327309091.0,0.54,0.55,180020000.0,180020000.0,180020000.0,-88100000.0,268120000.0,268120000.0,58454000.0,326574000.0,0.0,6966000.0,13697929000.0,10861935000.0,158889000.0,158889000.0,13879198000.0,13879198000.0,2024-06-30 00:00:00
