Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Restructuring And Mergern Acquisition
384.523529,0.384524,696333000.0,1000.0,1000.0,310799000.0,170440000.0,2709990000.0,696334000.0,525894000.0,-20921000.0,20921000.0,310798384.523529,310799000.0,4695526000.0,,,,,310799000.0,310799000.0,0.0,310799000.0,310799000.0,310799000.0,194174000.0,504973000.0,246476000.0,1000.0,-20921000.0,20921000.0,279417000.0,1985536000.0,582856000.0,170440000.0,170440000.0,930940000.0,930940000.0,2264953000.0,2709990000.0,4974943000.0,4974943000.0,2024-03-31,
-56680611.869391,0.368187,472915000.0,-153945000.0,-153945000.0,125677000.0,100803000.0,2596267000.0,318970000.0,218167000.0,-19252000.0,19252000.0,222941388.130609,125677000.0,4136290000.0,111218584.0,111218584.0,1.13,1.13,125677000.0,125677000.0,0.0,125677000.0,125677000.0,125677000.0,73238000.0,198915000.0,41472000.0,-153945000.0,-19252000.0,19252000.0,330640000.0,1540023000.0,387921000.0,100803000.0,100803000.0,772948000.0,772948000.0,1870663000.0,2596267000.0,4466930000.0,4466930000.0,2023-12-31,
-2062200.0,0.3,138784000.0,-6874000.0,-6874000.0,7314000.0,101367000.0,2414724000.0,131910000.0,30543000.0,-23557000.0,23557000.0,12125800.0,7314000.0,3744456000.0,104485714.0,104485714.0,0.07,0.07,7314000.0,7314000.0,0.0,7314000.0,7314000.0,7314000.0,-328000.0,6986000.0,33287000.0,-6874000.0,-23557000.0,23557000.0,4130000.0,1329732000.0,335915000.0,101367000.0,101367000.0,630509000.0,630509000.0,1333862000.0,2414724000.0,3748586000.0,3748586000.0,2023-09-30,
-14904722.559741,0.348959,345792000.0,-42712000.0,-42712000.0,122164000.0,98248000.0,2807462000.0,303080000.0,204832000.0,-17188000.0,17188000.0,149971277.440259,122164000.0,4247564000.0,111058182.0,111058182.0,1.1,1.1,122164000.0,122164000.0,0.0,122164000.0,122164000.0,122164000.0,65480000.0,187644000.0,34012000.0,-42712000.0,-17188000.0,17188000.0,213532000.0,1440102000.0,324396000.0,98248000.0,98248000.0,737650000.0,737650000.0,1653634000.0,2807462000.0,4461096000.0,4461096000.0,2023-06-30,
3735560.392315,0.312992,329754000.0,11935000.0,11935000.0,76701000.0,188696000.0,6253015000.0,341689000.0,152993000.0,47241000.0,41348000.0,68501560.392315,76701000.0,9841140000.0,,,,,76701000.0,76701000.0,0.0,76701000.0,76701000.0,76701000.0,34944000.0,111645000.0,-64787000.0,11935000.0,47241000.0,41348000.0,123301000.0,3588125000.0,679377000.0,188696000.0,188696000.0,2162252000.0,2018640000.0,3711426000.0,6253015000.0,9964441000.0,9964441000.0,2023-03-31,
,,,,,,,,,,,,,,,70365034.0,70365034.0,-0.25,-0.25,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31,
0.0,0.331052,282535000.0,0.0,0.0,98619000.0,102852000.0,583592000.0,282535000.0,179683000.0,-32259000.0,32259000.0,98619000.0,98619000.0,3729706000.0,110807865.0,110807865.0,0.89,0.89,98619000.0,98619000.0,0.0,98619000.0,98619000.0,98619000.0,48805000.0,147424000.0,51433000.0,0.0,-32259000.0,32259000.0,128250000.0,3146114000.0,2009069000.0,102852000.0,102852000.0,750777000.0,750777000.0,3274364000.0,583592000.0,3857956000.0,3857956000.0,2024-06-30 00:00:00,0.0
