Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Special Charges
0.0,0.0,-64923000.0,-2600000.0,-2600000.0,-70123000.0,0.0,25483000.0,-67523000.0,-67523000.0,-67523000.0,-70123000.0,69279000.0,,,,,-67523000.0,-67523000.0,0.0,-67523000.0,-67524000.0,-70124000.0,0.0,-70124000.0,,-2600000.0,0.0,-67523000.0,43796000.0,,0.0,0.0,-23727000.0,25483000.0,1756000.0,1756000.0,2024-03-31,
0.0,0.0,-25605000.0,0.0,0.0,-25605000.0,0.0,4957000.0,-25605000.0,-25605000.0,-25605000.0,-25605000.0,27213000.0,512100000.0,512100000.0,-0.05,-0.05,-25605000.0,-25605000.0,0.0,-25605000.0,-25605000.0,-25605000.0,0.0,-25605000.0,,0.0,0.0,-25605000.0,22256000.0,22256000.0,0.0,0.0,-3349000.0,4957000.0,1608000.0,1608000.0,2023-12-31,
0.0,0.0,-6700000.0,0.0,0.0,-6700000.0,0.0,6100000.0,-6700000.0,-6700000.0,-6700000.0,-6700000.0,8300000.0,485058818.0,485058818.0,-0.01,-0.01,-6700000.0,-6700000.0,0.0,-6700000.0,-6700000.0,-6700000.0,0.0,-6700000.0,,0.0,0.0,-6700000.0,2200000.0,2200000.0,0.0,0.0,-4500000.0,6100000.0,1600000.0,1600000.0,2023-09-30,
33524333386.55706,0.379163,7260200000.0,88416700000.0,88416700000.0,59724100000.0,4800000.0,-7622700000.0,95676900000.0,95672100000.0,4831733386.557059,59724100000.0,-7082100000.0,,,,,59724100000.0,59724100000.0,0.0,59724100000.0,59723100000.0,59723100000.0,36474600000.0,96197700000.0,-57700000.0,88356300000.0,-91128700000.0,6353900000.0,540600000.0,315200000.0,4800000.0,4800000.0,6894500000.0,-7622700000.0,-728200000.0,-728200000.0,2023-03-31,
-1455600.0,0.3,-1411305000.0,-4852000.0,-4852000.0,-2492397000.0,212512000.0,2707254000.0,-1416157000.0,-1628669000.0,-2489000600.0,-2492397000.0,3034395000.0,484902140.0,484902140.0,-5.14,-5.14,-2492397000.0,-2492397000.0,0.0,-2492397000.0,-2492397000.0,-2492397000.0,858345000.0,-1634052000.0,-531000.0,-4852000.0,4852000.0,-1628669000.0,327141000.0,116634000.0,212512000.0,212512000.0,-1301528000.0,2707254000.0,1405726000.0,1405726000.0,2022-12-31,
0.0,0.0,-4373000.0,0.0,0.0,-4373000.0,0.0,4257000.0,-4373000.0,-4373000.0,-4373000.0,-4373000.0,6144000.0,437300000.0,437300000.0,-0.01,-0.01,-4373000.0,-4373000.0,0.0,-4373000.0,-4373000.0,-4373000.0,0.0,-4373000.0,,0.0,0.0,-4373000.0,1887000.0,1887000.0,0.0,0.0,-2486000.0,4257000.0,1771000.0,1771000.0,2024-06-30 00:00:00,
0.0,0.0,59050000.0,2600000.0,2600000.0,64250000.0,0.0,4620000.0,61650000.0,61650000.0,61650000.0,64250000.0,-60480000.0,494230769.0,494230769.0,0.13,0.13,64250000.0,64250000.0,0.0,64250000.0,64250000.0,64250000.0,0.0,64250000.0,,2600000.0,0.0,61650000.0,-65100000.0,,0.0,0.0,-3450000.0,4620000.0,1170000.0,1170000.0,2023-06-30 00:00:00,-2600000.0
