Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.180813,104880400000.0,,,43424200000.0,32590200000.0,104880400000.0,72290200000.0,-19281300000.0,19281300000.0,43424200000.0,43424200000.0,51381000000.0,,,,,41663300000.0,41663300000.0,0.0,41663300000.0,41663300000.0,-1760900000.0,43424200000.0,9584700000.0,53008900000.0,3272800000.0,,-19281300000.0,19281300000.0,68400100000.0,51381000000.0,12350400000.0,32590200000.0,32590200000.0,119781100000.0,119781100000.0,2024-03-31
0.0,0.167369,104448900000.0,,,39177800000.0,32934600000.0,104448900000.0,71514300000.0,-24461300000.0,24461300000.0,39177800000.0,39177800000.0,46303600000.0,9303117783.0,9303117783.0,4.33,4.33,40282500000.0,40282500000.0,0.0,40282500000.0,40282500000.0,1104700000.0,39177800000.0,7875200000.0,47053000000.0,2699100000.0,,-24461300000.0,24461300000.0,69194300000.0,46303600000.0,7289100000.0,32934600000.0,32934600000.0,115497900000.0,115497900000.0,2023-12-31
0.0,0.127052,101334500000.0,,,39414900000.0,32770400000.0,101334500000.0,68564100000.0,-23412600000.0,23412600000.0,39414900000.0,39414900000.0,46357400000.0,9313842365.0,9313842365.0,4.06,4.06,37814200000.0,37814200000.0,0.0,37814200000.0,37814200000.0,-1600700000.0,39414900000.0,5736600000.0,45151500000.0,2633600000.0,,-23412600000.0,23412600000.0,66313300000.0,46357400000.0,7768300000.0,32770400000.0,32770400000.0,112670700000.0,112670700000.0,2023-09-30
0.0,0.136096,98869800000.0,0.0,0.0,39428600000.0,32657500000.0,98869800000.0,66212300000.0,-20572300000.0,20572300000.0,39428600000.0,39428600000.0,46312800000.0,9294987080.0,9294987080.0,3.87,3.87,35971600000.0,35971600000.0,0.0,35971600000.0,35971600000.0,-3457000000.0,39428600000.0,6211400000.0,45640000000.0,2094700000.0,0.0,-20572300000.0,20572300000.0,64168500000.0,46312800000.0,7649900000.0,32657500000.0,32657500000.0,110481300000.0,110481300000.0,2023-06-30
-272475384.733047,0.189311,101236300000.0,-1439300000.0,-1439300000.0,43459900000.0,33139900000.0,99797000000.0,66657100000.0,2708900000.0,13048500000.0,44626724615.26695,43459900000.0,38373500000.0,,,,,43204300000.0,43204300000.0,0.0,43204300000.0,43204300000.0,-255600000.0,43459900000.0,10148700000.0,53608600000.0,-4100600000.0,-220900000.0,2708900000.0,13048500000.0,69497000000.0,25114700000.0,-16154500000.0,33139900000.0,31816300000.0,107870500000.0,107870500000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,9299209184.0,9299209184.0,3.92,3.92,,,,,,,,,,,0.0,,,,,,,,,,2022-12-31
0.0,0.188467,99049000000.0,,,37862400000.0,32003900000.0,99049000000.0,67045100000.0,-20389700000.0,20389700000.0,37862400000.0,37862400000.0,46041000000.0,9309800000.0,9309800000.0,4.0,4.0,37239200000.0,37239200000.0,0.0,37239200000.0,37239200000.0,-623200000.0,37862400000.0,8793000000.0,46655400000.0,2734100000.0,,-20389700000.0,20389700000.0,64020800000.0,46041000000.0,7863500000.0,32003900000.0,32003900000.0,110061800000.0,110061800000.0,2024-06-30 00:00:00
