Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,138420801.0,138420801.0,5168600000.0,6657900000.0,6929900000.0,18297300000.0,4289900000.0,6929900000.0,488700000.0,12128100000.0,13858600000.0,12141900000.0,13800000.0,12128100000.0,10743900000.0,,,,1384200000.0,1384200000.0,11882600000.0,2541500000.0,,,473600000.0,2048000000.0,317500000.0,1730500000.0,14200000.0,9341100000.0,368300000.0,4609900000.0,171200000.0,4438700000.0,,191400000.0,3744700000.0,,,193400000.0,3551300000.0,24024500000.0,10393500000.0,44100000.0,,217700000.0,,138100000.0,138100000.0,,,,5500000.0,5198200000.0,2151000000.0,3047200000.0,4256800000.0,,4256800000.0,69500000.0,4187300000.0,,,,,13631000000.0,978900000.0,,,,6568700000.0,,,,34500000.0,,4896000000.0,,,1152900000.0,152300000.0,1000600000.0,,2024-03-31
,138420801.0,138420801.0,5191000000.0,6568000000.0,6359000000.0,17508000000.0,4715000000.0,6359000000.0,475000000.0,11415000000.0,13559000000.0,11794000000.0,379000000.0,11415000000.0,10031000000.0,,,,1384000000.0,1384000000.0,11899000000.0,2952000000.0,-1000000.0,,469000000.0,2464000000.0,320000000.0,2144000000.0,14000000.0,8947000000.0,345000000.0,4104000000.0,155000000.0,3949000000.0,,181000000.0,3996000000.0,,,148000000.0,3848000000.0,23693000000.0,10032000000.0,23000000.0,,261000000.0,,137000000.0,137000000.0,,0.0,0.0,6000000.0,5056000000.0,2077000000.0,2979000000.0,4070000000.0,,4070000000.0,284000000.0,3786000000.0,,,,,13662000000.0,891000000.0,,,,6663000000.0,,,,62000000.0,,4440000000.0,,,1606000000.0,704000000.0,902000000.0,,2023-09-30
3245768.0,135175033.0,138420801.0,5024700000.0,6199500000.0,5334700000.0,16303900000.0,4978400000.0,5334700000.0,539400000.0,10643800000.0,13832700000.0,11026400000.0,382600000.0,10643800000.0,-200000.0,710900000.0,7495900000.0,1059000000.0,1384200000.0,1384200000.0,11193800000.0,4107000000.0,,11800000.0,506700000.0,3582800000.0,393900000.0,3188900000.0,11800000.0,7086800000.0,355500000.0,2616700000.0,145500000.0,2471200000.0,164800000.0,164800000.0,4193000000.0,526400000.0,100000.0,15500000.0,3651000000.0,22220200000.0,10155000000.0,-200000.0,95400000.0,201800000.0,0.0,3300000.0,3100000.0,200000.0,0.0,0.0,5600000.0,5309100000.0,2280300000.0,3028800000.0,4093100000.0,-2033500000.0,6126600000.0,227100000.0,3866000000.0,2676100000.0,2916900000.0,306500000.0,0.0,12065200000.0,14400000.0,5100000.0,36800000.0,696500000.0,6031100000.0,907900000.0,1031400000.0,4091800000.0,23400000.0,10200000.0,4382300000.0,-239200000.0,4621500000.0,865400000.0,230000000.0,635400000.0,635400000.0,2023-03-31
