Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Special Charges
-1205600000.0,0.4,33189500000.0,-3014000000.0,-3014000000.0,24948200000.0,14175900000.0,30175500000.0,30175500000.0,-6765700000.0,6765700000.0,26756600000.0,24948200000.0,38317400000.0,,,,,20396600000.0,20396600000.0,0.0,20396600000.0,248900000.0,20147700000.0,24699300000.0,-1289500000.0,23409800000.0,3034400000.0,-3737000000.0,-6765700000.0,6765700000.0,30647600000.0,24141500000.0,24141500000.0,54789100000.0,14175900000.0,68965000000.0,68965000000.0,2024-03-31,
-562966069.754462,0.194475,37172100000.0,-2894800000.0,-2894800000.0,22084100000.0,14637700000.0,34277300000.0,34277300000.0,-6864000000.0,6864000000.0,24415933930.245537,22084100000.0,37194700000.0,2160870841.0,2160870841.0,10.22,10.22,22084100000.0,22084100000.0,0.0,22084100000.0,-2000000.0,22082100000.0,22082100000.0,5331200000.0,27413300000.0,5068500000.0,0.0,-6864000000.0,6864000000.0,32006300000.0,22557000000.0,22557000000.0,54563300000.0,14637700000.0,69201000000.0,69201000000.0,2023-12-31,
587803925.92475,0.301129,30407800000.0,1952000000.0,1952000000.0,17478500000.0,14523900000.0,32359800000.0,32359800000.0,-7153000000.0,7153000000.0,16114303925.92475,17478500000.0,37404100000.0,2160506799.0,2160506799.0,8.09,8.09,17478500000.0,17478500000.0,0.0,17478500000.0,-137800000.0,17616300000.0,17616300000.0,7590500000.0,25206800000.0,3054500000.0,0.0,-7153000000.0,7153000000.0,29060000000.0,22880200000.0,22880200000.0,51940200000.0,14523900000.0,66464100000.0,66464100000.0,2023-09-30,
109511197.475449,0.149096,31234300000.0,734500000.0,734500000.0,21147200000.0,14511100000.0,31968800000.0,31968800000.0,-7061400000.0,7061400000.0,20522211197.47545,21147200000.0,34434800000.0,2160081716.0,2160081716.0,9.79,9.79,21147200000.0,21147200000.0,0.0,21147200000.0,-46600000.0,21193800000.0,21193800000.0,3713600000.0,24907400000.0,3836800000.0,0.0,-7061400000.0,7061400000.0,28040700000.0,19923700000.0,19923700000.0,47964400000.0,14511100000.0,62475500000.0,62475500000.0,2023-06-30,
-3161640000.0,0.3,26914800000.0,-10538800000.0,-10538800000.0,11588800000.0,30868600000.0,16376000000.0,16376000000.0,4897400000.0,7181300000.0,18965960000.0,11588800000.0,30405000000.0,,,,,11588800000.0,11588800000.0,0.0,11588800000.0,179100000.0,11409700000.0,11409700000.0,-2215000000.0,9194700000.0,-10455100000.0,-12130600000.0,4897400000.0,7181300000.0,25220800000.0,-463600000.0,-2605600000.0,24757200000.0,30868600000.0,55625800000.0,55625800000.0,2023-03-31,
,,,,,,,,,,,,,,2160164204.0,2160164204.0,6.09,6.09,,,,,,,,,,,,,,,,,,,,,2022-12-31,
850114972.513326,0.135115,36188700000.0,6291800000.0,6291800000.0,31128300000.0,14811400000.0,42480500000.0,42480500000.0,-6554000000.0,6554000000.0,25686614972.513325,31128300000.0,37237100000.0,2160187370.0,2160187370.0,14.41,14.41,31128300000.0,31128300000.0,0.0,31128300000.0,56000000.0,31072300000.0,31072300000.0,4854200000.0,35926500000.0,4945900000.0,4578400000.0,-6554000000.0,6554000000.0,32326100000.0,22425700000.0,22425700000.0,54751800000.0,14811400000.0,69563200000.0,69563200000.0,2024-06-30 00:00:00,-4578400000.0
