Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
0.0,101250000.0,101250000.0,172730000.0,181102000.0,585226000.0,766328000.0,58282000.0,585226000.0,,585226000.0,645965000.0,585226000.0,585226000.0,483976000.0,,,101250000.0,101250000.0,352334000.0,80325000.0,,,15916000.0,60739000.0,,60739000.0,1078000.0,272009000.0,22596000.0,,120363000.0,,120363000.0,,21782000.0,31196000.0,0.0,31196000.0,937560000.0,607269000.0,1000.0,,0.0,,,,0.0,,590284000.0,,,,,,,330291000.0,3702000.0,,2859000.0,245358000.0,78372000.0,70000000.0,8372000.0,,,2024-03-31
,101250000.0,101250000.0,154395000.0,155769000.0,545933000.0,701702000.0,-19344000.0,545933000.0,,545933000.0,603746000.0,545933000.0,545933000.0,444683000.0,,,101250000.0,101250000.0,259722000.0,75827000.0,,,14070000.0,57813000.0,,57813000.0,1352000.0,183895000.0,5330000.0,,97956000.0,,97956000.0,,17602000.0,32589000.0,0.0,32589000.0,805655000.0,641104000.0,,,0.0,6000.0,,,0.0,,613534000.0,,,,,,,164551000.0,1243000.0,,8091000.0,153843000.0,1374000.0,,1374000.0,,,2023-09-30
,101250000.0,101250000.0,229290030.0,244425160.0,523014990.0,764861190.0,-69813840.0,523014990.0,2579020.0,523015050.0,574952150.0,523015050.0,523015050.0,421765000.0,279551450.0,139790500.0,101250000.0,101250000.0,310330680.0,66919169.0,-1.0,649830.0,11783590.0,54485750.0,2548650.0,51937100.0,650000.0,243411511.0,-3344349.0,0.0,189939410.0,30370.0,189909040.0,15820840.0,487530.0,40508080.0,0.0,40508080.0,833345730.0,659748060.0,,29318240.0,0.0,6000.0,5900.0,5900.0,60.0,60.0,630423860.0,-254539580.0,884963440.0,2444130.0,877057710.0,5461600.0,0.0,173597671.0,-9.0,3688910.0,3285030.0,154067630.0,12556110.0,,12556110.0,0.0,12556110.0,2023-03-31
