Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
6364767.0,6364767.0,2788171000.0,2788171000.0,2074483000.0,2788171000.0,2788171000.0,2788171000.0,2795108000.0,6937000.0,2788171000.0,2724387000.0,,,63784000.0,63784000.0,151287000.0,9306000.0,,,9306000.0,141981000.0,8867000.0,,,1518000.0,87750000.0,,,,87750000.0,2946395000.0,729931000.0,494000.0,,63707000.0,,0.0,,615482000.0,,615482000.0,21416000.0,594066000.0,,,,,2216464000.0,58641000.0,,,7266000.0,,,583795000.0,,,1566762000.0,1008695000.0,558067000.0,,,2024-03-31
6364767.0,6364767.0,2709476000.0,2710151000.0,1865534000.0,2709476000.0,2710151000.0,2710151000.0,2710151000.0,0.0,2710151000.0,2646367000.0,,,63784000.0,63784000.0,112125000.0,8214000.0,,,8214000.0,103911000.0,5127000.0,,,1560000.0,5355000.0,,,,5355000.0,2822276000.0,852831000.0,494000.0,,76984000.0,,675000.0,,727153000.0,,727153000.0,21237000.0,705916000.0,,,,,1969445000.0,157030000.0,,,6680000.0,,,160506000.0,,,1645229000.0,1225110000.0,420119000.0,,,2023-09-30
6364767.0,6364767.0,2830915000.0,2831583000.0,2044557000.0,2830915000.0,2831583000.0,2831583000.0,2831850000.0,267000.0,2831583000.0,2768091000.0,2086088000.0,549147000.0,63784000.0,63784000.0,73439000.0,9527000.0,292000.0,9235000.0,9235000.0,63912000.0,6253000.0,0.0,1560000.0,1560000.0,56099000.0,39660000.0,3832000.0,0.0,12607000.0,2905289000.0,796820000.0,494000.0,494000.0,80321000.0,0.0,668000.0,668000.0,674592000.0,-1683725000.0,2358317000.0,21098000.0,10923000.0,2297276000.0,1447000.0,27573000.0,0.0,2108469000.0,150355000.0,129161000.0,148600000.0,5226000.0,5226000.0,17231000.0,325212000.0,-27760000.0,352972000.0,1483039000.0,988200000.0,494839000.0,394822000.0,100017000.0,2023-03-31
