Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Minority Interest,Defined Pension Benefit,Goodwill,Cash Equivalents,Cash Financial
254564956.0,254564956.0,,649964000.0,19887378000.0,20892388000.0,11562906000.0,19887378000.0,264211000.0,20506635000.0,20506635000.0,20506635000.0,20506635000.0,20252070000.0,,,254565000.0,254565000.0,2034230000.0,965273000.0,1000.0,,647912000.0,212356000.0,212356000.0,0.0,105004000.0,1068957000.0,71973000.0,437608000.0,51855000.0,385753000.0,,47437000.0,423574000.0,,,0.0,423574000.0,22540865000.0,9909002000.0,22371000.0,,,1399539000.0,1399539000.0,,619257000.0,619257000.0,7867760000.0,,7867760000.0,1789716000.0,6078044000.0,,,,,12631863000.0,626931000.0,,,2311957000.0,,,,,8308000.0,99844000.0,1336592000.0,,,8248231000.0,7775919000.0,472312000.0,2024-03-31,,,,,
254564956.0,254564956.0,,507868000.0,18733827000.0,19845369000.0,10566902000.0,18733827000.0,16537000.0,19354038000.0,19354038000.0,19354038000.0,19354038000.0,19099473000.0,,,254565000.0,254565000.0,1843696000.0,719911000.0,,,619061000.0,8678000.0,8678000.0,0.0,92172000.0,1123785000.0,49081000.0,499190000.0,7859000.0,491331000.0,,50968000.0,429924000.0,,,3985000.0,425939000.0,21197734000.0,9507047000.0,34960000.0,,,1239149000.0,1239149000.0,,620211000.0,620211000.0,7612455000.0,,7612455000.0,1723271000.0,5889184000.0,,,,,11690687000.0,466047000.0,,,2714629000.0,,,,,2657000.0,,1368987000.0,,,7138367000.0,6562600000.0,575767000.0,2023-09-30,,,,,
254564956.0,254564956.0,43592000.0,703408000.0,17332523000.0,18043463000.0,8522800000.0,17332523000.0,11788000.0,17351843000.0,17397485000.0,17351843000.0,17351843000.0,17097278000.0,14651606000.0,1095738000.0,254565000.0,254565000.0,2305595000.0,717937000.0,,82951000.0,582346000.0,52640000.0,6998000.0,45642000.0,,1587658000.0,21449000.0,650768000.0,4790000.0,645978000.0,39461000.0,,751367000.0,86213000.0,10572000.0,2939000.0,651643000.0,19657438000.0,9546980000.0,602579000.0,59119000.0,705000.0,1170262000.0,1230085000.0,1170262000.0,19320000.0,19320000.0,7694770000.0,-2100975000.0,9795745000.0,1683405000.0,680789000.0,5080791000.0,2200296000.0,150464000.0,0.0,10110458000.0,3000.0,32112000.0,335620000.0,3128104000.0,40437000.0,991354000.0,1134832000.0,961481000.0,30200000.0,637648000.0,1109393000.0,0.0,1109393000.0,4837378000.0,4189350000.0,648028000.0,2023-03-31,,,,,
