Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.255389,586419000.0,0.0,0.0,321473000.0,137870000.0,2158254000.0,586419000.0,448549000.0,-16705000.0,16705000.0,321473000.0,321473000.0,5108649000.0,321473000.0,321473000.0,0.0,321473000.0,-83000.0,321556000.0,321556000.0,110288000.0,431844000.0,23410000.0,0.0,-16705000.0,16705000.0,425139000.0,2950395000.0,1960770000.0,137870000.0,137870000.0,3375534000.0,2158254000.0,5533788000.0,5533788000.0,2024-06-30
-13363260.694848,0.125073,504480000.0,-106844000.0,-106844000.0,213992000.0,140069000.0,2254544000.0,397636000.0,257567000.0,4747000.0,13197000.0,307472739.305152,213992000.0,5083226000.0,213992000.0,213992000.0,0.0,213992000.0,75000.0,213806000.0,213806000.0,30564000.0,244370000.0,-50316000.0,-148333000.0,4747000.0,13197000.0,396664000.0,2828682000.0,-1356732000.0,140069000.0,-112628000.0,3225346000.0,2254544000.0,5479890000.0,5479890000.0,2024-03-31
0.0,0.249303,457901000.0,0.0,0.0,229737000.0,133707000.0,2200219000.0,457901000.0,324194000.0,-18169000.0,18169000.0,229737000.0,229737000.0,5100787000.0,229737000.0,229737000.0,0.0,229737000.0,5000.0,229732000.0,229732000.0,76293000.0,306025000.0,30651000.0,0.0,-18169000.0,18169000.0,293543000.0,2900568000.0,1935256000.0,133707000.0,133707000.0,3194111000.0,2200219000.0,5394330000.0,5394330000.0,2023-12-31
0.0,0.315926,539396000.0,0.0,0.0,258298000.0,132352000.0,2494905000.0,539396000.0,407044000.0,-29209000.0,29209000.0,258298000.0,258298000.0,5525500000.0,258298000.0,258298000.0,0.0,258298000.0,-169000.0,258467000.0,258467000.0,119368000.0,377835000.0,18093000.0,0.0,-29209000.0,29209000.0,388951000.0,3030595000.0,2039509000.0,132352000.0,132352000.0,3419546000.0,2494905000.0,5914451000.0,5914451000.0,2023-09-30
0.0,0.286151,525151000.0,0.0,0.0,254470000.0,134142000.0,1935925000.0,525151000.0,391009000.0,-34502000.0,34502000.0,254470000.0,254470000.0,4677279000.0,254470000.0,254470000.0,0.0,254470000.0,-22000.0,254492000.0,254492000.0,102015000.0,356507000.0,20175000.0,0.0,-34502000.0,34502000.0,370834000.0,2741354000.0,1848213000.0,134142000.0,134142000.0,3112188000.0,1935925000.0,5048113000.0,5048113000.0,2023-06-30
