Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
424052.0,424052.0,4915279000.0,5349320000.0,-4431370000.0,917950000.0,-1654000000.0,-4431370000.0,-4431370000.0,892120000.0,-4431370000.0,-4431370000.0,-4855422000.0,,,,424052000.0,424052000.0,8140127000.0,5677868000.0,34878000.0,,319500000.0,5323490000.0,5323490000.0,2462259000.0,2049949000.0,25830000.0,25830000.0,202804000.0,183676000.0,,0.0,183676000.0,3708757000.0,2900499000.0,68916000.0,0.0,2692018000.0,,2692018000.0,518054000.0,2173964000.0,,,,,808259000.0,283437000.0,,9277000.0,,,,,81504000.0,,,434041000.0,434041000.0,,2023-09-30
424052.0,424052.0,5825977329.0,6060773498.0,-4447266472.0,1613507026.0,-2049639704.0,-4447266472.0,-4447266472.0,627394728.0,-4447266472.0,-4447266472.0,-4871349000.0,7919430.0,-6686482808.0,1717785670.0,424052240.0,424052240.0,8038489050.0,5428050017.0,34789000.0,34788090.0,318600727.0,5074661200.0,5074661200.0,2610439033.0,9054719.0,986112298.0,986112298.0,195145066.0,1410854312.0,1186175136.0,15698413.0,208980763.0,3591222578.0,3030423250.0,84137261.0,,2784036919.0,-2249115009.0,5033151928.0,567426711.0,876537516.0,1227629305.0,1968486616.0,393071780.0,0.0,560799329.0,226.0,79980440.0,12545636.0,11678078.0,867558.0,129121970.0,12137769.0,92217119.0,0.0,92217119.0,234796169.0,234796169.0,234796169.0,2023-03-31
