Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Other Non Current Liabilities,Retained Earnings,Additional Paid In Capital,Non Current Pension And Other Postretirement Benefit Plans,Current Deferred Taxes Liabilities,Other Payable,Non Current Prepaid Assets,Other Intangible Assets,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Prepaid Assets,Finished Goods,Other Receivables,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Equivalents,Cash Financial
612000000.0,612000000.0,1459219222.0,1459365544.0,594630492.0,2053996036.0,607624381.0,594630492.0,0.0,594630492.0,648989561.0,594630492.0,594630492.0,-17369508.0,612000000.0,612000000.0,2041321516.0,54485696.0,0.0,54359069.0,0.0,54359069.0,126627.0,1986835820.0,20659971.0,1405006475.0,0.0,1405006475.0,44877217.0,507067372.0,507067372.0,2635952008.0,41491807.0,14863836.0,1811288.0,4000.0,4000.0,0.0,20560738.0,20560738.0,0.0,20560738.0,2594460201.0,139102635.0,1093000536.0,1358552910.0,3804120.0,3657798.0,146322.0,2023-03-31,,,,,,,,,,,,,,,,,,,,
612000000.0,612000000.0,1424323643.0,1424460201.0,589710796.0,2014170997.0,708396834.0,589710796.0,0.0,589710796.0,748888772.0,589710796.0,589710796.0,-22289204.0,612000000.0,612000000.0,2003995996.0,159304602.0,0.0,159177976.0,0.0,159177976.0,126627.0,1844691394.0,20966901.0,1265282225.0,0.0,1265282225.0,44877217.0,508700182.0,508700182.0,2593706792.0,40618564.0,16494344.0,1811288.0,4000.0,4000.0,0.0,18056987.0,18056987.0,,18056987.0,2553088228.0,137795417.0,1027243601.0,1384254854.0,3794356.0,3657798.0,136558.0,2023-09-30 00:00:00,-1.0,,,,,,,,,,,,,,,,,,,
