Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
63794340.0,5032161330.0,5095955670.0,20344100000.0,21258700000.0,42571000000.0,63762200000.0,9963600000.0,42571000000.0,650600000.0,43154100000.0,54888300000.0,43176700000.0,22600000.0,43154100000.0,38058100000.0,,,,,5096000000.0,5096000000.0,32456100000.0,15410300000.0,,3096300000.0,12314000000.0,579800000.0,11734200000.0,17045800000.0,1028500000.0,,8944700000.0,70800000.0,8873900000.0,,577900000.0,4783800000.0,,,18200000.0,4765600000.0,75632800000.0,48623400000.0,364300000.0,,0.0,1075600000.0,1075600000.0,,,,583100000.0,583100000.0,46369500000.0,,46369500000.0,847500000.0,45522000000.0,,,,,27009400000.0,1904700000.0,,,,13933600000.0,,,,,,0.0,4119100000.0,,,7052000000.0,6788000000.0,264000000.0,,,2024-03-31
63927140.0,5032028530.0,5095955670.0,15753200000.0,16638100000.0,41102200000.0,57464200000.0,6132000000.0,41102200000.0,678100000.0,41504200000.0,52627200000.0,41497300000.0,-6900000.0,41504200000.0,36408200000.0,,,,,5096000000.0,5096000000.0,28798300000.0,14746900000.0,,2988500000.0,11733800000.0,610800000.0,11123000000.0,14051400000.0,541500000.0,,4904300000.0,67300000.0,4837000000.0,,449200000.0,5483100000.0,,,146500000.0,5336600000.0,70295600000.0,50112200000.0,403700000.0,,0.0,2392400000.0,2392400000.0,,,,402000000.0,402000000.0,46859900000.0,,46859900000.0,3004400000.0,43855500000.0,,,,,20183400000.0,1119900000.0,,,,9419000000.0,,,,,,0.0,4129300000.0,,,5515200000.0,5308400000.0,206800000.0,,,2023-09-30
63927140.0,5032028530.0,5095955670.0,12473800000.0,14421900000.0,41550500000.0,55667300000.0,5803800000.0,41550500000.0,680800000.0,41926200000.0,49968700000.0,41941400000.0,15200000.0,41926200000.0,175200000.0,6907700000.0,480100000.0,23512500000.0,3933700000.0,5096000000.0,5096000000.0,26346000000.0,11696200000.0,100000.0,3017600000.0,8645700000.0,603200000.0,8042500000.0,14649800000.0,464700000.0,74400000.0,5776200000.0,77600000.0,5698600000.0,116900000.0,,7618600000.0,2066700000.0,150400000.0,74400000.0,5401500000.0,68287400000.0,47833800000.0,655000000.0,1325300000.0,2000000.0,1606400000.0,1601500000.0,4900000.0,0.0,0.0,375700000.0,375700000.0,44249400000.0,-27319500000.0,71568900000.0,3622400000.0,79300000.0,38457900000.0,14788800000.0,14620500000.0,0.0,20453600000.0,117800000.0,86900000.0,188500000.0,1653200000.0,10818000000.0,206300000.0,2523400000.0,1941800000.0,6146500000.0,1327800000.0,1700000.0,2765400000.0,-13000000.0,2778400000.0,3496000000.0,2228700000.0,1267300000.0,965000000.0,302300000.0,2023-03-31
