Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.202712,4851440000.0,0.0,0.0,3153210000.0,799170000.0,18935570000.0,4851440000.0,4052270000.0,-97350000.0,97350000.0,,3153210000.0,3153210000.0,22160820000.0,,,,,,3153210000.0,3153210000.0,0.0,3153210000.0,3153210000.0,3153210000.0,801710000.0,3954920000.0,307830000.0,0.0,,,-97350000.0,,97350000.0,,3744440000.0,3225250000.0,2426080000.0,799170000.0,,799170000.0,,,,,6969690000.0,18935570000.0,25905260000.0,25905260000.0,2024-03-31
0.0,0.265006,4801440000.0,0.0,0.0,2861340000.0,787310000.0,18095600000.0,4801440000.0,4014130000.0,-121120000.0,121120000.0,,2861340000.0,2861340000.0,21351130000.0,,153835484.0,151273592.0,18.6,18.915,2861340000.0,2861340000.0,0.0,2861340000.0,2861340000.0,2861340000.0,1031670000.0,3893010000.0,383100000.0,0.0,,,-121120000.0,,121120000.0,,3631030000.0,3255530000.0,2468220000.0,787310000.0,,787310000.0,3059900000.0,,3059900000.0,,6886560000.0,18095600000.0,24982160000.0,24982160000.0,2023-12-31
0.0,0.25999,4424430000.0,0.0,0.0,2632680000.0,743970000.0,17759150000.0,4424430000.0,3680460000.0,-122830000.0,122830000.0,,2632680000.0,2632680000.0,20809060000.0,,172634754.0,172634754.0,15.25,15.25,2632680000.0,2632680000.0,0.0,2632680000.0,2632680000.0,2632680000.0,924950000.0,3557630000.0,372820000.0,0.0,,,-122830000.0,,122830000.0,,3307640000.0,3049910000.0,2305940000.0,743970000.0,,743970000.0,2415550000.0,,2415550000.0,,6357550000.0,17759150000.0,24116700000.0,24116700000.0,2023-09-30
2121153.04072,0.254946,3882580000.0,8320000.0,8320000.0,2287680000.0,763280000.0,16305520000.0,3890900000.0,3127620000.0,26460000.0,57130000.0,152430000.0,2281481153.04072,2287680000.0,20210420000.0,31280000.0,153795054.0,149998480.0,14.875,15.25,2287680000.0,2287680000.0,0.0,2287680000.0,2287680000.0,2287680000.0,782810000.0,3070490000.0,98470000.0,-18950000.0,-1630000.0,20580000.0,26460000.0,68840000.0,57130000.0,152430000.0,3001330000.0,3904900000.0,980710000.0,763280000.0,143260000.0,620020000.0,461890000.0,36960000.0,424930000.0,31280000.0,6906230000.0,16305520000.0,23211750000.0,23211750000.0,2023-06-30
462901.889396,0.261526,4249640000.0,1770000.0,1770000.0,2515130000.0,697250000.0,15883750000.0,4251410000.0,3554160000.0,5260000.0,148310000.0,153570000.0,2513822901.889396,2515130000.0,18978610000.0,34620000.0,,,,,2515130000.0,2515130000.0,0.0,2515130000.0,2515130000.0,2515130000.0,890720000.0,3405850000.0,21800000.0,-82120000.0,-210000.0,82330000.0,5260000.0,,148310000.0,153570000.0,3566110000.0,3094860000.0,573590000.0,697250000.0,280330000.0,416920000.0,252400000.0,34990000.0,217410000.0,34620000.0,6660970000.0,15883750000.0,22544720000.0,22544720000.0,2023-03-31
,,,,,,,,,,,,136330000.0,,,,39480000.0,152828516.0,149187461.0,15.57,15.95,,,,,,,,,,,296550000.0,0.0,,,,136330000.0,,,,,285090000.0,,2861930000.0,87790000.0,2861930000.0,39480000.0,,,,,2022-12-31
0.0,0.234999,4858530000.0,,,3064150000.0,711970000.0,15735040000.0,4858530000.0,4146560000.0,-141140000.0,141140000.0,,3064150000.0,3064150000.0,23531540000.0,,154054801.0,152521155.0,19.89,20.09,3064150000.0,3064150000.0,0.0,3064150000.0,3064150000.0,3064150000.0,941270000.0,4005420000.0,306400000.0,,,,-141140000.0,,141140000.0,,3840160000.0,7796500000.0,2867710000.0,711970000.0,,711970000.0,4216820000.0,,4216820000.0,,11636660000.0,15735040000.0,27371700000.0,27371700000.0,2024-06-30 00:00:00
