Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,71989421.0,71989421.0,,567650000.0,4791180000.0,5148620000.0,1022090000.0,4791180000.0,435190000.0,5016160000.0,5019550000.0,5069980000.0,53820000.0,5016160000.0,4944170000.0,,,71990000.0,71990000.0,1696140000.0,684260000.0,940000.0,,,203220000.0,423850000.0,420460000.0,3390000.0,56250000.0,1011880000.0,38460000.0,143800000.0,14730000.0,129070000.0,,16780000.0,523400000.0,,523400000.0,6766120000.0,4732150000.0,,,,524790000.0,,524790000.0,224980000.0,224980000.0,3585750000.0,,3585750000.0,462940000.0,3122810000.0,,,,,2033970000.0,123400000.0,,198600000.0,,,,93290000.0,43500000.0,588450000.0,,,986730000.0,835900000.0,150830000.0,,2024-03-31
0.0,68109421.0,68109421.0,104910000.0,578190000.0,3882860000.0,4252640000.0,325140000.0,3882860000.0,433390000.0,4107840000.0,4109100000.0,4153020000.0,45180000.0,4107840000.0,4039730000.0,,,68110000.0,68110000.0,1740360000.0,686340000.0,6220000.0,,,205930000.0,420570000.0,419310000.0,1260000.0,53620000.0,1054020000.0,30400000.0,157620000.0,14080000.0,143540000.0,,18660000.0,534920000.0,,534920000.0,5893380000.0,4514220000.0,,,0.0,538700000.0,,538700000.0,224980000.0,224980000.0,3347870000.0,,3347870000.0,818330000.0,2529540000.0,,,,,1379160000.0,200120000.0,,423410000.0,,,,67050000.0,39260000.0,290510000.0,,,358810000.0,318920000.0,39890000.0,,2023-09-30
,65184421.0,65184421.0,136210000.0,619690000.0,3343500000.0,3760540000.0,539860000.0,3343500000.0,427630000.0,3568480000.0,3581970000.0,3616560000.0,48080000.0,3568480000.0,81760000.0,1435430000.0,1315730000.0,65180000.0,65180000.0,1716960000.0,745290000.0,10000.0,49950000.0,56510000.0,209070000.0,429750000.0,416260000.0,13490000.0,49950000.0,971670000.0,5000000.0,189940000.0,11370000.0,178570000.0,21050000.0,21050000.0,545560000.0,23840000.0,521720000.0,5333520000.0,3821990000.0,20000.0,107730000.0,,162150000.0,10340000.0,151810000.0,224980000.0,224980000.0,2984090000.0,-3785750000.0,6769840000.0,443030000.0,2541070000.0,5655400000.0,190100000.0,481310000.0,0.0,1511530000.0,227920000.0,114790000.0,510140000.0,23330000.0,412230000.0,74580000.0,75360000.0,165440000.0,254310000.0,-72100000.0,326410000.0,391490000.0,335640000.0,55850000.0,55850000.0,2023-03-31
