Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Taxes Receivable
34589341.0,34589341.0,813943000.0,5254713000.0,2726572000.0,3655562000.0,1463537000.0,2726572000.0,4346287000.0,2747136000.0,2920092000.0,2747136000.0,2747136000.0,2401243000.0,,,345893000.0,345893000.0,7524289000.0,4123406000.0,,,4060237000.0,3887281000.0,172956000.0,63169000.0,3400883000.0,40452000.0,,1194476000.0,459006000.0,735470000.0,,31286000.0,1935029000.0,,0.0,1935029000.0,10271425000.0,5407005000.0,208749000.0,,284644000.0,105834000.0,105834000.0,20564000.0,20564000.0,4778150000.0,,4778150000.0,2255000.0,4775895000.0,,,,4864420000.0,515644000.0,,,4188688000.0,,,,,554000.0,,,159534000.0,65051000.0,94483000.0,,2024-03-31,
34589341.0,34589341.0,579559000.0,4453266000.0,2444127000.0,3078130000.0,1170319000.0,2444127000.0,3850653000.0,2475517000.0,2567854000.0,2475517000.0,2475517000.0,2129624000.0,,,345893000.0,345893000.0,6508698000.0,3597489000.0,,,3542953000.0,3450616000.0,92337000.0,53103000.0,2911209000.0,17852000.0,,910313000.0,400037000.0,510276000.0,,27391000.0,1796458000.0,,0.0,1796458000.0,8984215000.0,4902687000.0,217550000.0,,327733000.0,79260000.0,79260000.0,31390000.0,31390000.0,4240163000.0,,4240163000.0,64953000.0,4175210000.0,,,,4081528000.0,710902000.0,,,3316365000.0,,,,,384000.0,,,53877000.0,30823000.0,23054000.0,,2023-09-30,
34389341.0,34389341.0,487773000.0,4237359000.0,2429405000.0,3006219000.0,1216631000.0,2429405000.0,3700384000.0,2469244000.0,2541457000.0,2469244000.0,2469244000.0,28194000.0,-7004337000.0,2997138000.0,343893000.0,343893000.0,5473572000.0,3421438000.0,-2000.0,44364000.0,3374798000.0,3302585000.0,72213000.0,44364000.0,2052134000.0,13811000.0,4089000.0,862561000.0,397799000.0,464762000.0,23705000.0,,1149927000.0,71213000.0,4089000.0,1074625000.0,7942816000.0,4674051000.0,180018000.0,257850000.0,320141000.0,82855000.0,82855000.0,39839000.0,39839000.0,4045426000.0,-2666624000.0,6712050000.0,1098000.0,5044405000.0,1603400000.0,63147000.0,0.0,3268765000.0,416995000.0,2154000.0,415393000.0,2788816000.0,2432926000.0,119583000.0,236307000.0,8655000.0,670000.0,-3821000.0,4491000.0,53077000.0,3875000.0,49202000.0,49202000.0,2023-03-31,
