Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Total Revenue,Operating Revenue,Date
396284099.131362,0.233108,-59160000.0,1700000000.0,1700000000.0,1257026000.0,329000.0,1640840000.0,1640511000.0,-1393000.0,1393000.0,-46689900.868638,1257026000.0,141053000.0,,,,,1257026000.0,1257026000.0,0.0,1257026000.0,1257026000.0,0.0,1257026000.0,382092000.0,1639118000.0,49799000.0,1700000000.0,-1393000.0,1393000.0,-109288000.0,141053000.0,127858000.0,329000.0,329000.0,2757000.0,2757000.0,,31765000.0,31765000.0,2024-03-31
0.0,0.251672,72688000.0,0.0,0.0,54140000.0,333000.0,72688000.0,72355000.0,-7000.0,7000.0,54140000.0,54140000.0,22749000.0,117695652.0,117695652.0,0.46,0.46,54140000.0,54140000.0,0.0,54140000.0,54140000.0,0.0,54140000.0,18208000.0,72348000.0,68629000.0,0.0,-7000.0,7000.0,3726000.0,22749000.0,8295000.0,333000.0,333000.0,115000.0,115000.0,,26475000.0,26475000.0,2023-12-31
0.0,0.251698,48048000.0,0.0,0.0,35697000.0,332000.0,48048000.0,47716000.0,-12000.0,12000.0,35697000.0,35697000.0,20945000.0,118990000.0,118990000.0,0.3,0.3,35697000.0,35697000.0,0.0,35697000.0,35697000.0,0.0,35697000.0,12007000.0,47704000.0,45026000.0,0.0,-12000.0,12000.0,2690000.0,20945000.0,4481000.0,332000.0,332000.0,3100000.0,3100000.0,,23635000.0,23635000.0,2023-09-30
0.0,0.251658,28836000.0,0.0,0.0,21321000.0,329000.0,28836000.0,28507000.0,-16000.0,16000.0,21321000.0,21321000.0,19346000.0,118450000.0,118450000.0,0.18,0.18,21321000.0,21321000.0,0.0,21321000.0,21321000.0,0.0,21321000.0,7170000.0,28491000.0,32704000.0,0.0,-16000.0,16000.0,-4197000.0,19346000.0,3642000.0,329000.0,329000.0,2779000.0,2779000.0,,15149000.0,15149000.0,2023-06-30
310739120.600171,0.24404,-1322386000.0,1273314000.0,1273314000.0,994964000.0,326000.0,-49072000.0,-49398000.0,91904000.0,22000.0,32389120.600171,759858000.0,27129000.0,,,,,759858000.0,759858000.0,0.0,759858000.0,759858000.0,-235106000.0,994964000.0,321195000.0,1316159000.0,-63840000.0,1273314000.0,91904000.0,22000.0,14848000.0,27129000.0,-29000.0,326000.0,326000.0,11159000.0,23000.0,11136000.0,41977000.0,41977000.0,2023-03-31
,,,,,,,,,,,,,,117899074.0,117899074.0,1.08,1.08,,,,,,,,,,,,,,,,,,,,,469000.0,,,2022-12-31
0.0,0.3,32454000.0,0.0,0.0,24526000.0,330000.0,32454000.0,32124000.0,-7696000.0,7696000.0,24526000.0,24526000.0,33937000.0,116790476.0,116790476.0,0.21,0.21,24526000.0,24526000.0,0.0,24526000.0,24526000.0,,24526000.0,-98000.0,24428000.0,36431000.0,0.0,-7696000.0,7696000.0,-4307000.0,33937000.0,21509000.0,330000.0,330000.0,119000.0,119000.0,,29630000.0,29630000.0,2024-06-30 00:00:00
