Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,292700000.0,292700000.0,64952000.0,64956000.0,27938000.0,92894000.0,62993000.0,27938000.0,27938000.0,92894000.0,27938000.0,27938000.0,,,292700000.0,292700000.0,65713000.0,64957000.0,1000.0,0.0,64956000.0,64956000.0,756000.0,,0.0,0.0,668000.0,22000.0,,0.0,22000.0,93651000.0,29902000.0,,,1273000.0,26000.0,,,0.0,,27823000.0,,,,,,63749000.0,4983000.0,,,19742000.0,,31234000.0,7790000.0,7786000.0,4000.0,,2024-03-31
0.0,292700000.0,292700000.0,90735000.0,90741000.0,172988000.0,263743000.0,223128000.0,172988000.0,173002000.0,263743000.0,173002000.0,173002000.0,,,292700000.0,292700000.0,95031000.0,90741000.0,,0.0,90741000.0,90741000.0,4290000.0,,0.0,0.0,3164000.0,480000.0,,,480000.0,268033000.0,40615000.0,,,1273000.0,26000.0,26000.0,,14000.0,,33026000.0,,,,,,227418000.0,7045000.0,,,106695000.0,,104781000.0,8897000.0,8891000.0,6000.0,,2023-09-30
,292700534.0,292700534.0,84099000.0,84105000.0,183255000.0,267374000.0,223527000.0,183255000.0,183269000.0,267374000.0,183269000.0,183269000.0,12180000.0,-121612000.0,292701000.0,292701000.0,90555000.0,84104000.0,-1000.0,0.0,84105000.0,84105000.0,6451000.0,639000.0,0.0,0.0,3450000.0,5812000.0,2819000.0,0.0,2993000.0,273824000.0,43846000.0,11000.0,0.0,1273000.0,26000.0,25000.0,1000.0,14000.0,14000.0,36246000.0,-114491000.0,150737000.0,492000.0,110766000.0,39479000.0,229978000.0,2447000.0,549000.0,12791000.0,106695000.0,106695000.0,107490000.0,6000.0,8890000.0,6000.0,6000.0,2023-03-31
