Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Date,Other Non Interest Expense
,,,,,,,,,,7151666667.0,7018352375.0,16.32,16.63,,,,,,,,,,,,,,,,,2024-03-31,
0.0,0.252351,0.0,0.0,110526000000.0,214564700000.0,194087600000.0,408652300000.0,110526000000.0,110526000000.0,7144537815.0,7008623970.0,15.47,15.77,110526000000.0,110526000000.0,110526000000.0,-4625500000.0,115151500000.0,0.0,115151500000.0,38866700000.0,154018200000.0,0.0,-6270300000.0,47491900000.0,47491900000.0,47491900000.0,394439700000.0,394439700000.0,2023-12-31,
0.0,0.251247,,,108961300000.0,210300700000.0,179080100000.0,389380800000.0,108961300000.0,108961300000.0,7135645056.0,6998156712.0,15.27,15.57,108961300000.0,108961300000.0,108961300000.0,-4547300000.0,113508600000.0,,113508600000.0,38088200000.0,151596800000.0,,,46622300000.0,46622300000.0,46622300000.0,393842500000.0,393842500000.0,2023-09-30,
0.0,0.243808,,,106361200000.0,207382300000.0,163676600000.0,371058900000.0,106361200000.0,106361200000.0,7133547954.0,6988252300.0,14.91,15.22,106361200000.0,106361200000.0,106361200000.0,-3783300000.0,110144500000.0,,110144500000.0,35512200000.0,145656700000.0,,,48113300000.0,48113300000.0,48113300000.0,357163400000.0,357163400000.0,2023-06-30,
162773700.0,0.3,542579000.0,542579000.0,98527008000.0,199594419000.0,144794679000.0,344389098000.0,98147202700.0,98527008000.0,7119002890.0,6977832861.0,13.84,14.12,98527008000.0,98527008000.0,98527008000.0,-3835938000.0,102362946000.0,0.0,102362946000.0,34989200000.0,19417746000.0,542579000.0,,202274941000.0,136867851000.0,42617392000.0,393890252000.0,393890252000.0,2023-03-31,
0.0,0.24656,0.0,0.0,87924200000.0,186409200000.0,129778900000.0,316188100000.0,87924200000.0,87924200000.0,,,,,87924200000.0,87924200000.0,87924200000.0,-3732000000.0,91656200000.0,0.0,91656200000.0,29994100000.0,121650300000.0,0.0,,37231000000.0,37231000000.0,37231000000.0,348816100000.0,348816100000.0,2022-12-31,
0.0,0.258971,0.0,0.0,116958400000.0,234600300000.0,211216200000.0,445816500000.0,116958400000.0,116958400000.0,7166568627.0,7028750000.0,16.32,16.64,116958400000.0,116958400000.0,116958400000.0,-7669700000.0,124628100000.0,,124628100000.0,43554500000.0,168182600000.0,0.0,,61658500000.0,61658500000.0,61658500000.0,461484400000.0,461484400000.0,2024-06-30 00:00:00,
