Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
0.0,302459335.0,302459335.0,6748080000.0,7037630000.0,-17443830000.0,-10405900000.0,-21799300000.0,-17443830000.0,-17443530000.0,-17422810000.0,-16830840000.0,612690000.0,-17443530000.0,-17745990000.0,302460000.0,302460000.0,28132210000.0,257390000.0,-10000.0,0.0,20720000.0,20720000.0,70660000.0,27874820000.0,766900000.0,7016910000.0,7016910000.0,1860000.0,2066860000.0,2066860000.0,11301370000.0,5225850000.0,181810000.0,221030000.0,2046360000.0,2046360000.0,300000.0,300000.0,2185540000.0,2185540000.0,36650000.0,2148890000.0,6075520000.0,742620000.0,2520000000.0,114820000.0,5790000.0,1065410000.0,1626880000.0,1337330000.0,289550000.0,2023-09-30
,302459335.0,302459335.0,6711400000.0,6997460000.0,-14269700000.0,-7271920000.0,-18435260000.0,-14269700000.0,-14269380000.0,-14269380000.0,-13469500000.0,799880000.0,-14269380000.0,-14571840000.0,302460000.0,302460000.0,24898140000.0,234300000.0,20000.0,0.0,0.0,0.0,69940000.0,24663840000.0,751340000.0,6997460000.0,6997460000.0,1860000.0,1484000000.0,1484000000.0,11428640000.0,5200050000.0,180080000.0,218790000.0,2046360000.0,2046360000.0,320000.0,320000.0,2163930000.0,2163930000.0,36280000.0,2127650000.0,6228580000.0,722350000.0,2520000000.0,113660000.0,193420000.0,1059240000.0,1619910000.0,1333850000.0,286060000.0,2023-03-31
