Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
159258300.0,159258300.0,722700000.0,2389400000.0,25828200000.0,27871200000.0,10961000000.0,25828200000.0,683500000.0,26165300000.0,26799800000.0,26756100000.0,590800000.0,26165300000.0,26006000000.0,,,159300000.0,159300000.0,8673000000.0,2006300000.0,,,,,838600000.0,1125800000.0,491300000.0,634500000.0,41900000.0,6666700000.0,839100000.0,1263600000.0,192200000.0,1071400000.0,,277600000.0,2938900000.0,,,6000000.0,2932900000.0,35429100000.0,17801400000.0,85900000.0,,37300000.0,325900000.0,325900000.0,147900000.0,,337100000.0,10300000.0,326800000.0,16719200000.0,,16719200000.0,679300000.0,16039900000.0,,,,,17627700000.0,341400000.0,0.0,,,5321900000.0,,,,,593600000.0,6194300000.0,,,5176500000.0,4193300000.0,983200000.0,,2024-03-31
159258300.0,159258300.0,489500000.0,1684200000.0,24691100000.0,26280300000.0,10449900000.0,24691100000.0,434000000.0,25030100000.0,25573500000.0,25664800000.0,634700000.0,25030100000.0,24870800000.0,,,159300000.0,159300000.0,8415700000.0,1889500000.0,1600000.0,,,,793600000.0,843600000.0,300200000.0,543400000.0,250700000.0,6526200000.0,623800000.0,840600000.0,133800000.0,706800000.0,,105200000.0,3454200000.0,,,104600000.0,3349600000.0,34080500000.0,17104400000.0,63600000.0,142900000.0,61300000.0,443600000.0,443600000.0,,,339000000.0,12200000.0,326800000.0,16054000000.0,,16054000000.0,730400000.0,15323600000.0,,,,,16976100000.0,361600000.0,73000000.0,,,5641400000.0,,,,,129200000.0,5564300000.0,,,5206600000.0,4445900000.0,760700000.0,,2023-09-30
159232550.0,159232550.0,1987700000.0,2498200000.0,22926500000.0,25360500000.0,9381900000.0,22926500000.0,405500000.0,23267800000.0,23785600000.0,24044200000.0,776400000.0,23267800000.0,88800000.0,17745400000.0,1856300000.0,159200000.0,159200000.0,9261100000.0,1778600000.0,4500000.0,211300000.0,0.0,4500000.0,765000000.0,797800000.0,280000000.0,517800000.0,211300000.0,7482500000.0,792900000.0,1700400000.0,125500000.0,1574900000.0,81600000.0,,4644200000.0,1465100000.0,25000000.0,50600000.0,3103500000.0,33305300000.0,16440900000.0,175000000.0,355000000.0,26800000.0,757000000.0,757000000.0,19400000.0,19400000.0,341300000.0,14500000.0,326800000.0,14941400000.0,-8310000000.0,23251400000.0,817100000.0,284100000.0,16066000000.0,5003900000.0,1080300000.0,0.0,16864400000.0,25400000.0,754100000.0,2300100000.0,377900000.0,5646800000.0,195700000.0,3873000000.0,281200000.0,1296900000.0,108300000.0,6011700000.0,-66700000.0,6078400000.0,1640100000.0,1535100000.0,105000000.0,105000000.0,2023-03-31
