Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Impairment Of Capital Assets
-41050648.541616,0.102498,3651700000.0,-400500000.0,-400500000.0,-4033900000.0,2753100000.0,9536800000.0,3251200000.0,498100000.0,-4992800000.0,4992800000.0,-3674450648.541616,-3975600000.0,20792700000.0,,,,,-3975600000.0,-3975600000.0,0.0,-3975600000.0,0.0,-3975600000.0,,58300000.0,-4033900000.0,-460700000.0,-4494700000.0,1972000000.0,-400500000.0,-4992800000.0,4992800000.0,-1073300000.0,11255900000.0,,2753100000.0,2753100000.0,,,10182600000.0,9536800000.0,19719400000.0,19719400000.0,2024-03-31,
0.0,0.3,-3083600000.0,0.0,0.0,-12658100000.0,2624800000.0,9281700000.0,-3083600000.0,-5708400000.0,-6067000000.0,6067000000.0,-12658100000.0,-11367500000.0,25723800000.0,3810760979.0,3810760979.0,-2.983,-2.983,-11367500000.0,-11367500000.0,0.0,-11367500000.0,0.0,-11367500000.0,0.0,1290600000.0,-12658100000.0,882700000.0,-11775400000.0,549600000.0,0.0,-6067000000.0,6067000000.0,-6258000000.0,16442100000.0,,2624800000.0,2624800000.0,13345300000.0,13345300000.0,10184100000.0,9281700000.0,19465800000.0,19465800000.0,2023-12-31,
0.0,0.3,8106700000.0,0.0,0.0,-2766800000.0,2628000000.0,10003600000.0,8106700000.0,5478700000.0,-7250500000.0,7250500000.0,-2766800000.0,-2377600000.0,15829600000.0,3756082148.0,3756082148.0,-0.633,-0.633,-2377600000.0,-2377600000.0,0.0,-2377600000.0,0.0,-2377600000.0,,389200000.0,-2766800000.0,995000000.0,-1771800000.0,785600000.0,0.0,-7250500000.0,7250500000.0,4693000000.0,5826000000.0,,2628000000.0,2628000000.0,2684500000.0,2684500000.0,10519000000.0,10003600000.0,20522600000.0,20522600000.0,2023-09-30,
0.0,0.3,6574600000.0,0.0,0.0,-2963100000.0,2611700000.0,9491400000.0,6574600000.0,3962900000.0,-6202600000.0,6202600000.0,-2963100000.0,-2963100000.0,15624300000.0,3736569987.0,3736569987.0,-0.793,-0.793,-2963100000.0,-2963100000.0,0.0,-2963100000.0,0.0,-2963100000.0,,,-2963100000.0,723400000.0,-2239700000.0,369000000.0,0.0,-6202600000.0,6202600000.0,3593900000.0,6132900000.0,3071300000.0,2611700000.0,2611700000.0,,,9726800000.0,9491400000.0,19218200000.0,19218200000.0,2023-06-30,
1744590000.0,0.3,-87200000.0,5815300000.0,5815300000.0,3148000000.0,2656100000.0,11332800000.0,5728100000.0,3072000000.0,-352100000.0,1427700000.0,-922710000.0,3217900000.0,15950700000.0,,,,,3217900000.0,3217900000.0,0.0,3217900000.0,648800000.0,2569100000.0,0.0,69900000.0,2499200000.0,-854900000.0,1644300000.0,-419900000.0,5797400000.0,-352100000.0,1427700000.0,-3487000000.0,4617900000.0,-3281600000.0,2656100000.0,2656100000.0,,,1130900000.0,11332800000.0,12463700000.0,12463700000.0,2023-03-31,
,,,,,,,,,,,,,,,3401866978.0,3401866978.0,-0.857,-0.857,,,,,,,0.0,-17300000.0,,,,,,,,,,2281200000.0,,,2281200000.0,2281200000.0,,,,,2022-12-31,
0.0,0.3,7276000000.0,0.0,0.0,-982800000.0,2503000000.0,10173000000.0,7276000000.0,4773000000.0,-5506300000.0,5506300000.0,-982800000.0,-978500000.0,15918800000.0,4010245902.0,4010245902.0,-0.244,-0.244,-978500000.0,-978500000.0,0.0,-978500000.0,0.0,-978500000.0,,4300000.0,-982800000.0,249500000.0,-733300000.0,769500000.0,0.0,-5506300000.0,5506300000.0,4003500000.0,5745800000.0,,2503000000.0,2503000000.0,2788600000.0,2788600000.0,9749300000.0,10173000000.0,19922300000.0,19922300000.0,2024-06-30 00:00:00,0.0
