Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Impairment Of Capital Assets
55155180.907083,0.039112,8594100000.0,1410200000.0,1410200000.0,9050800000.0,6283200000.0,10004300000.0,10004300000.0,-585100000.0,585100000.0,7695755180.907083,9050800000.0,8069500000.0,,,,,9050800000.0,9050800000.0,0.0,9050800000.0,0.0,9050800000.0,9050800000.0,368400000.0,9419200000.0,1630600000.0,792200000.0,-661900000.0,,-585100000.0,585100000.0,6903800000.0,1786300000.0,1786300000.0,8690100000.0,6283200000.0,14973300000.0,14973300000.0,2024-03-31,
1109566.957585,0.002779,5666200000.0,399200000.0,399200000.0,5381700000.0,6493700000.0,6065400000.0,6065400000.0,-668700000.0,668700000.0,4983609566.957585,5381700000.0,8043000000.0,143054226.0,142750663.0,37.62,37.7,5381700000.0,5381700000.0,0.0,5381700000.0,0.0,5381700000.0,5381700000.0,15000000.0,5396700000.0,1185300000.0,322900000.0,-322900000.0,,-668700000.0,668700000.0,4408300000.0,1549300000.0,1549300000.0,5957600000.0,6493700000.0,12451300000.0,12451300000.0,2023-12-31,
37696368.86572,0.028222,5554900000.0,1335700000.0,1335700000.0,5946600000.0,6546300000.0,6890600000.0,6890600000.0,-771300000.0,771300000.0,4648596368.86572,5946600000.0,8026400000.0,143050277.0,142775510.0,41.57,41.65,5946600000.0,5946600000.0,0.0,5946600000.0,0.0,5946600000.0,5946600000.0,172700000.0,6119300000.0,912100000.0,1412200000.0,-1412200000.0,,-771300000.0,771300000.0,4263800000.0,1480100000.0,1480100000.0,5743900000.0,6546300000.0,12290200000.0,12290200000.0,2023-09-30,
25954428.652265,0.040925,5996300000.0,634200000.0,634200000.0,5762700000.0,6045100000.0,6630500000.0,6630500000.0,-621900000.0,621900000.0,5154454428.652265,5762700000.0,7359000000.0,143066038.0,142782458.0,40.28,40.36,5762700000.0,5762700000.0,0.0,5762700000.0,0.0,5762700000.0,5762700000.0,245900000.0,6008600000.0,505500000.0,4800000.0,-4800000.0,,-621900000.0,621900000.0,5477900000.0,1313900000.0,1313900000.0,6791800000.0,6045100000.0,12836900000.0,12836900000.0,2023-06-30,
803430000.0,0.3,4416100000.0,2678100000.0,2678100000.0,7219400000.0,10524000000.0,7094200000.0,7094200000.0,593100000.0,119200000.0,5344730000.0,7219400000.0,7364600000.0,,,,,7219400000.0,7219400000.0,0.0,7219400000.0,0.0,7219400000.0,7219400000.0,-244400000.0,6975000000.0,-2656600000.0,447900000.0,-447900000.0,0.0,593100000.0,119200000.0,6893300000.0,-3159400000.0,-3684700000.0,3733900000.0,10524000000.0,14257900000.0,14257900000.0,2023-03-31,
,,,,,,,,,,,,,,143065693.0,142772593.0,43.84,43.93,,,,,,,,,,,,,0.0,,,,,,,,,,2022-12-31,
34973280.894371,0.04249,8262700000.0,823100000.0,823100000.0,8119400000.0,6487200000.0,9085800000.0,9085800000.0,-606100000.0,606100000.0,7331273280.894371,8119400000.0,8114600000.0,143047921.0,142771233.0,56.76,56.87,8119400000.0,8119400000.0,0.0,8119400000.0,0.0,8119400000.0,8119400000.0,360300000.0,8479700000.0,1269900000.0,678900000.0,-678900000.0,,-606100000.0,606100000.0,6967700000.0,1627400000.0,1627400000.0,8595100000.0,6487200000.0,15082300000.0,15082300000.0,2024-06-30 00:00:00,0.0
