Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
62276440.0,62276440.0,2239814000.0,24922151000.0,25056563000.0,20907844000.0,24922151000.0,2239814000.0,25056563000.0,25056563000.0,25056563000.0,25056563000.0,24433799000.0,,622764000.0,622764000.0,6813253000.0,2353889000.0,541999000.0,1811890000.0,1811890000.0,,4459364000.0,1208143000.0,,427924000.0,427924000.0,,384627000.0,1403436000.0,,,547046000.0,856390000.0,31869816000.0,6502608000.0,15531000.0,,238690000.0,1943159000.0,1943159000.0,134412000.0,,3846898000.0,,3846898000.0,21543000.0,3825355000.0,,,,,25367208000.0,1501636000.0,,,,,11071000.0,,1468659000.0,,8277470000.0,,,14108372000.0,12775943000.0,1332429000.0,,,2024-03-31
62276440.0,62276440.0,2373092000.0,20821133000.0,20963620000.0,17925699000.0,20821133000.0,2373092000.0,20963620000.0,20963620000.0,20963620000.0,20963620000.0,20340856000.0,,622764000.0,622764000.0,7163416000.0,2555050000.0,562002000.0,1993048000.0,1993048000.0,,4608366000.0,1445648000.0,,380044000.0,380044000.0,,320398000.0,1545293000.0,,,579083000.0,966210000.0,28127036000.0,5592971000.0,46905000.0,,191083000.0,1068241000.0,1068241000.0,142487000.0,,3796504000.0,,3796504000.0,101128000.0,3695376000.0,,,,,22534065000.0,1506747000.0,,,,,2108000.0,,1513860000.0,,7334138000.0,,,12177212000.0,10810096000.0,1367116000.0,,,2023-09-30
62276440.0,62276440.0,1822640000.0,20695651000.0,20857671000.0,18349341000.0,20695651000.0,1822640000.0,20857671000.0,20857671000.0,20857671000.0,20857671000.0,,19075307000.0,622764000.0,622764000.0,6777355000.0,1991800000.0,454532000.0,1537268000.0,1537268000.0,454532000.0,4785555000.0,549286000.0,454912000.0,285372000.0,285372000.0,1073244000.0,18176000.0,1141025000.0,7710000.0,101612000.0,454912000.0,1031703000.0,27635026000.0,4500130000.0,8582000.0,683308000.0,128883000.0,8537000.0,8537000.0,162020000.0,162020000.0,3244982000.0,-2112373000.0,5357355000.0,71058000.0,225930000.0,2143658000.0,2818723000.0,97986000.0,0.0,23134896000.0,977079000.0,20257000.0,440122000.0,101612000.0,466427000.0,3862000.0,3862000.0,1639744000.0,82365000.0,8566590000.0,-79873000.0,8646463000.0,11813917000.0,10475000000.0,1338917000.0,200000000.0,1138917000.0,2023-03-31
62281976.0,62281976.0,2057787000.0,24755422000.0,24865691000.0,20435278000.0,24755422000.0,2057787000.0,24865691000.0,24865691000.0,24865691000.0,24865691000.0,24242895000.0,,622796000.0,622796000.0,6985681000.0,2160762000.0,,1600234000.0,1600234000.0,560528000.0,4824919000.0,1046157000.0,,457553000.0,457553000.0,,477624000.0,2023977000.0,,,897253000.0,1126724000.0,31851372000.0,6591175000.0,13919000.0,,277400000.0,2038109000.0,2038109000.0,110269000.0,,3448822000.0,,3448822000.0,3365000.0,3445457000.0,,,,,25260197000.0,1744994000.0,,,,,0.0,,1766994000.0,,8114034000.0,,,13634175000.0,12610260000.0,1023915000.0,,,2024-09-30 00:00:00
