Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date,Net Income Discontinuous Operations
0.0,0.264149,0.0,0.0,20088000000.0,1591100000.0,52026700000.0,41974600000.0,94001300000.0,20088000000.0,20088000000.0,,,,,20088000000.0,20088000000.0,20088000000.0,-124800000.0,20212800000.0,20212800000.0,7245200000.0,27428500000.0,0.0,1434500000.0,15849700000.0,5303000000.0,1591100000.0,1591100000.0,55928500000.0,55928500000.0,2024-03-31,
0.0,0.254808,0.0,0.0,18662400000.0,1518300000.0,50158500000.0,38929900000.0,89088400000.0,18662400000.0,18662400000.0,376485778.0,375501006.0,49.57,49.7,18662400000.0,18662400000.0,18662400000.0,-73500000.0,18735900000.0,18735900000.0,6402300000.0,25126000000.0,0.0,1490300000.0,15178000000.0,4889600000.0,1518300000.0,1518300000.0,52894700000.0,52894700000.0,2023-12-31,
0.0,0.255761,0.0,0.0,17861100000.0,1413800000.0,46800400000.0,37980200000.0,84780600000.0,17861100000.0,17861100000.0,376419389.0,375154379.0,47.45,47.61,17861100000.0,17861100000.0,17861100000.0,-57200000.0,17918300000.0,17918300000.0,6148900000.0,24041600000.0,0.0,1606900000.0,14457600000.0,4528500000.0,1413800000.0,1413800000.0,49899800000.0,49899800000.0,2023-09-30,
0.0,0.256207,0.0,0.0,17052400000.0,1352800000.0,42780900000.0,36332900000.0,79113800000.0,17052400000.0,17052400000.0,376100573.0,374531078.0,45.34,45.53,17052400000.0,17052400000.0,17052400000.0,-69500000.0,17121900000.0,17121900000.0,5894200000.0,23005600000.0,0.0,1963300000.0,13853700000.0,4026700000.0,1352800000.0,1352800000.0,45740200000.0,45740200000.0,2023-06-30,
-116212509.590758,0.305662,-380200000.0,-380200000.0,12941800000.0,4270900000.0,45488000000.0,33835500000.0,79323500000.0,13205787490.409245,12941800000.0,,,,,12941800000.0,12941800000.0,12941800000.0,,12881800000.0,12881800000.0,5657000000.0,18507400000.0,-380200000.0,2032300000.0,14586000000.0,-1636300000.0,4270900000.0,4270900000.0,41367900000.0,41367900000.0,2023-03-31,
,,,,,,,,,,,374298793.0,372670396.0,48.06,48.27,,,,-27800000.0,,,,,,,,,,,,,2022-12-31,
0.0,0.257257,0.0,0.0,19739200000.0,1534800000.0,52338800000.0,41289100000.0,93627900000.0,19739200000.0,20228000000.0,376474967.0,375845411.0,53.73,53.82,20228000000.0,20228000000.0,20228000000.0,-78400000.0,20306400000.0,19817600000.0,6860000000.0,26665900000.0,0.0,306300000.0,15126900000.0,4908600000.0,1534800000.0,1534800000.0,53668300000.0,53668300000.0,2024-06-30 00:00:00,488800000.0
