Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Long Term Debt,Current Deferred Taxes Assets
27300084.0,27300084.0,,572347000.0,6572555000.0,7730070000.0,6279833000.0,6572555000.0,223003000.0,7380726000.0,7380726000.0,7380726000.0,7380726000.0,7107725000.0,,,273001000.0,273001000.0,2677997000.0,326636000.0,,85579000.0,85579000.0,241057000.0,2351361000.0,298860000.0,,486768000.0,137424000.0,349344000.0,,189245000.0,1296651000.0,,,157821000.0,1138830000.0,10058723000.0,1427529000.0,,90788000.0,123893000.0,123893000.0,808171000.0,68488000.0,739683000.0,404677000.0,,404677000.0,404677000.0,,,,8631194000.0,229546000.0,,,,90936000.0,3186365000.0,,,5124347000.0,4084702000.0,1039645000.0,,2024-03-31,,
27300084.0,27300084.0,48017000.0,689463000.0,5846535000.0,7082517000.0,5418180000.0,5846535000.0,289048000.0,6682102000.0,6682102000.0,6682102000.0,6682102000.0,6409101000.0,,,273001000.0,273001000.0,2444667000.0,322013000.0,,140555000.0,140555000.0,181458000.0,2122654000.0,215488000.0,,548908000.0,148493000.0,400415000.0,,190129000.0,1105471000.0,,,183886000.0,921585000.0,9126769000.0,1585935000.0,,81578000.0,177780000.0,177780000.0,835567000.0,95884000.0,739683000.0,491010000.0,,491010000.0,491010000.0,,,,7540834000.0,328052000.0,,,,24793000.0,2849956000.0,,,4338033000.0,3985635000.0,352398000.0,,2023-09-30,,
27256959.0,27256959.0,,557657000.0,5030515000.0,6197844000.0,4618549000.0,5030515000.0,253290000.0,5893477000.0,5893477000.0,5893477000.0,5893477000.0,41969000.0,3002197000.0,2582073000.0,272570000.0,272570000.0,2566614000.0,410463000.0,219282000.0,139166000.0,139166000.0,219282000.0,2156151000.0,222736000.0,191512000.0,418491000.0,114124000.0,304367000.0,88047000.0,88047000.0,1393497000.0,236987000.0,1650000.0,191512000.0,1154860000.0,8460091000.0,1685391000.0,57871000.0,59129000.0,157788000.0,157788000.0,862962000.0,123279000.0,739683000.0,489725000.0,-374156000.0,863881000.0,241435000.0,561522000.0,60924000.0,0.0,6774700000.0,217622000.0,1650000.0,207923000.0,1174432000.0,16962000.0,2551542000.0,-36449000.0,2587991000.0,2822191000.0,2385962000.0,436229000.0,436229000.0,2023-03-31,,
27300084.0,27300084.0,,316000000.0,6700000000.0,7811000000.0,6678000000.0,6700000000.0,,7495000000.0,7811000000.0,7495000000.0,7495000000.0,,,,273000000.0,273000000.0,2863000000.0,316000000.0,,316000000.0,,,2547000000.0,2547000000.0,,,,,,,,,,,,10358000000.0,1133000000.0,,,,,795000000.0,,,338000000.0,,,,,,,9225000000.0,2014000000.0,,,,,2745000000.0,,,4289000000.0,,4289000000.0,,2024-06-30 00:00:00,316000000.0,177000000.0
